XY
	CURVE1 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]
4.988e-001	2.123e-005	4.988e-001	2.468e-005
4.948e-001	1.513e-005		
4.907e-001	1.077e-005		
4.867e-001	8.311e-006		
4.828e-001	6.966e-006		
4.788e-001	5.044e-006		
4.748e-001	4.675e-006		
4.708e-001	3.482e-006		
4.668e-001	2.882e-006		
4.628e-001	2.756e-006		
4.589e-001	1.676e-006		
4.549e-001	1.905e-006		
4.509e-001	1.170e-006		
4.469e-001	9.043e-007		
4.429e-001	1.046e-006		
4.389e-001	1.785e-007		
4.349e-001	6.047e-007		
4.309e-001	1.107e-008		
4.269e-001	-1.134e-007		
4.229e-001	1.453e-007		
4.189e-001	-6.080e-007		
4.149e-001	-9.945e-008		
4.109e-001	-5.789e-007		
4.069e-001	-6.385e-007		
4.029e-001	-3.048e-007		
3.989e-001	-1.005e-006		
3.949e-001	-4.096e-007		
3.909e-001	-8.538e-007		
3.869e-001	-8.386e-007		
3.830e-001	-4.572e-007		
3.790e-001	-1.111e-006		
3.750e-001	-5.059e-007		
3.710e-001	-9.142e-007		
3.670e-001	-8.919e-007		
3.630e-001	-4.989e-007		
3.590e-001	-1.134e-006		
3.550e-001	-5.123e-007		
3.510e-001	-9.304e-007		
3.470e-001	-9.016e-007		
3.430e-001	-5.026e-007		
3.390e-001	-1.157e-006		
3.350e-001	-5.364e-007		
3.310e-001	-9.505e-007		
3.270e-001	-9.244e-007		
3.230e-001	-5.329e-007		
3.190e-001	-1.193e-006		
3.150e-001	-5.823e-007		
3.110e-001	-9.966e-007		
3.070e-001	-9.910e-007		
3.030e-001	-6.052e-007		
2.990e-001	-1.256e-006		
2.951e-001	-6.510e-007		
2.910e-001	-1.071e-006		
2.870e-001	-1.061e-006		
2.830e-001	-6.848e-007		
2.790e-001	-1.339e-006		
2.750e-001	-7.247e-007		
2.711e-001	-1.150e-006		
2.671e-001	-1.144e-006		
2.631e-001	-7.528e-007		
2.590e-001	-1.418e-006		
2.551e-001	-8.130e-007		
2.511e-001	-1.239e-006		
2.471e-001	-1.232e-006		
2.431e-001	-8.384e-007		
2.391e-001	-1.504e-006		
2.351e-001	-9.029e-007		
2.311e-001	-1.326e-006		
2.271e-001	-1.317e-006		
2.231e-001	-9.270e-007		
2.191e-001	-1.580e-006		
2.151e-001	-9.918e-007		
2.111e-001	-1.400e-006		
2.071e-001	-1.398e-006		
2.031e-001	-1.005e-006		
1.991e-001	-1.683e-006		
1.951e-001	-1.075e-006		
1.911e-001	-1.490e-006		
1.871e-001	-1.476e-006		
1.831e-001	-1.093e-006		
1.791e-001	-1.757e-006		
1.752e-001	-1.149e-006		
1.711e-001	-1.565e-006		
1.673e-001	-1.557e-006		
1.632e-001	-1.161e-006		
1.592e-001	-1.833e-006		
1.552e-001	-1.210e-006		
1.512e-001	-1.643e-006		
1.472e-001	-1.626e-006		
1.433e-001	-1.228e-006		
1.392e-001	-1.892e-006		
1.352e-001	-1.268e-006		
1.312e-001	-1.687e-006		
1.273e-001	-1.675e-006		
1.232e-001	-1.281e-006		
1.193e-001	-1.940e-006		
1.152e-001	-1.336e-006		
1.112e-001	-1.742e-006		
1.072e-001	-1.732e-006		
1.033e-001	-1.325e-006		
9.922e-002	-1.976e-006		
9.536e-002	-1.373e-006		
9.118e-002	-1.773e-006		
8.727e-002	-1.770e-006		
8.322e-002	-1.368e-006		
7.931e-002	-2.021e-006		
7.524e-002	-1.407e-006		
7.141e-002	-1.811e-006		
6.723e-002	-1.795e-006		
6.330e-002	-1.394e-006		
5.926e-002	-2.052e-006		
5.533e-002	-1.431e-006		
5.126e-002	-1.843e-006		
4.740e-002	-1.831e-006		
4.328e-002	-1.413e-006		
3.946e-002	-2.074e-006		
3.529e-002	-1.457e-006		
3.134e-002	-1.854e-006		
2.726e-002	-1.852e-006		
2.343e-002	-1.434e-006		
1.928e-002	-2.092e-006		
1.545e-002	-1.478e-006		
1.130e-002	-1.878e-006		
7.374e-003	-1.851e-006		
3.287e-003	-1.444e-006		
-5.912e-004	-2.102e-006		
-4.691e-003	-1.472e-006		
-8.554e-003	-1.885e-006		
-1.267e-002	-1.855e-006		
-1.665e-002	-1.451e-006		
-2.068e-002	-2.111e-006		
-2.460e-002	-1.490e-006		
-2.868e-002	-1.881e-006		
-3.258e-002	-1.874e-006		
-3.670e-002	-1.463e-006		
-4.061e-002	-2.125e-006		
-4.466e-002	-1.495e-006		
-4.857e-002	-1.891e-006		
-5.266e-002	-1.881e-006		
-5.653e-002	-1.467e-006		
-6.068e-002	-2.124e-006		
-6.460e-002	-1.505e-006		
-6.864e-002	-1.919e-006		
-7.255e-002	-1.897e-006		
-7.664e-002	-1.486e-006		
-8.053e-002	-2.155e-006		
-8.465e-002	-1.529e-006		
-8.851e-002	-1.938e-006		
-9.262e-002	-1.922e-006		
-9.656e-002	-1.518e-006		
-1.006e-001	-2.177e-006		
-1.045e-001	-1.562e-006		
-1.086e-001	-1.975e-006		
-1.125e-001	-1.958e-006		
-1.166e-001	-1.560e-006		
-1.205e-001	-2.227e-006		
-1.246e-001	-1.610e-006		
-1.285e-001	-2.042e-006		
-1.326e-001	-2.033e-006		
-1.365e-001	-1.633e-006		
-1.406e-001	-2.307e-006		
-1.445e-001	-1.700e-006		
-1.486e-001	-2.121e-006		
-1.525e-001	-2.130e-006		
-1.566e-001	-1.760e-006		
-1.605e-001	-2.440e-006		
-1.646e-001	-1.843e-006		
-1.685e-001	-2.291e-006		
-1.725e-001	-2.307e-006		
-1.765e-001	-1.947e-006		
-1.805e-001	-2.652e-006		
-1.845e-001	-2.087e-006		
-1.886e-001	-2.550e-006		
-1.925e-001	-2.595e-006		
-1.965e-001	-2.279e-006		
-2.005e-001	-3.022e-006		
-2.045e-001	-2.466e-006		
-2.084e-001	-2.985e-006		
-2.125e-001	-3.088e-006		
-2.164e-001	-2.792e-006		
-2.205e-001	-3.579e-006		
-2.244e-001	-3.082e-006		
-2.285e-001	-3.656e-006		
-2.324e-001	-3.804e-006		
-2.364e-001	-3.572e-006		
-2.404e-001	-4.431e-006		
-2.444e-001	-4.017e-006		
-2.484e-001	-4.649e-006		
-2.524e-001	-4.889e-006		
-2.564e-001	-4.765e-006		
-2.604e-001	-5.723e-006		
-2.644e-001	-5.425e-006		
-2.684e-001	-6.198e-006		
-2.724e-001	-6.555e-006		
-2.764e-001	-6.568e-006		
-2.804e-001	-7.696e-006		
-2.843e-001	-7.541e-006		
-2.883e-001	-8.473e-006		
-2.923e-001	-9.004e-006		
-2.963e-001	-9.180e-006		
-3.003e-001	-1.043e-005		
-3.043e-001	-1.043e-005		
-3.083e-001	-1.150e-005		
-3.123e-001	-1.212e-005		
-3.163e-001	-1.238e-005		
-3.203e-001	-1.371e-005		
-3.242e-001	-1.373e-005		
-3.282e-001	-1.478e-005		
-3.322e-001	-1.539e-005		
-3.362e-001	-1.566e-005		
-3.402e-001	-1.694e-005		
-3.442e-001	-1.684e-005		
-3.482e-001	-1.780e-005		
-3.522e-001	-1.829e-005		
-3.562e-001	-1.835e-005		
-3.602e-001	-1.943e-005		
-3.642e-001	-1.919e-005		
-3.682e-001	-1.998e-005		
-3.721e-001	-2.026e-005		
-3.761e-001	-2.016e-005		
