XY
	CURVE (PWRCHARGE_#1.DTA)
1.386e-004	1.138e+000
2.772e-004	1.201e+000
4.158e-004	1.217e+000
5.544e-004	1.225e+000
6.930e-004	1.229e+000
8.316e-004	1.232e+000
9.702e-004	1.234e+000
1.109e-003	1.236e+000
1.247e-003	1.238e+000
1.386e-003	1.240e+000
1.525e-003	1.242e+000
1.663e-003	1.243e+000
1.802e-003	1.244e+000
1.940e-003	1.246e+000
2.079e-003	1.247e+000
2.218e-003	1.248e+000
2.356e-003	1.250e+000
2.495e-003	1.251e+000
2.633e-003	1.252e+000
2.772e-003	1.253e+000
2.911e-003	1.254e+000
3.049e-003	1.255e+000
3.188e-003	1.256e+000
3.326e-003	1.257e+000
3.465e-003	1.257e+000
3.603e-003	1.258e+000
3.742e-003	1.259e+000
3.881e-003	1.260e+000
4.019e-003	1.262e+000
4.158e-003	1.263e+000
4.296e-003	1.264e+000
4.435e-003	1.265e+000
4.574e-003	1.266e+000
4.712e-003	1.268e+000
4.851e-003	1.269e+000
4.989e-003	1.270e+000
5.128e-003	1.271e+000
5.267e-003	1.272e+000
5.405e-003	1.273e+000
5.544e-003	1.274e+000
5.682e-003	1.275e+000
5.821e-003	1.277e+000
5.960e-003	1.278e+000
6.098e-003	1.279e+000
6.237e-003	1.280e+000
6.375e-003	1.281e+000
6.514e-003	1.282e+000
6.653e-003	1.283e+000
6.791e-003	1.284e+000
6.930e-003	1.285e+000
7.068e-003	1.286e+000
7.207e-003	1.287e+000
7.346e-003	1.288e+000
7.484e-003	1.289e+000
7.623e-003	1.290e+000
7.761e-003	1.291e+000
7.900e-003	1.292e+000
8.039e-003	1.293e+000
8.177e-003	1.293e+000
8.316e-003	1.294e+000
8.454e-003	1.295e+000
8.593e-003	1.296e+000
8.732e-003	1.296e+000
8.870e-003	1.297e+000
9.009e-003	1.298e+000
9.147e-003	1.299e+000
9.286e-003	1.300e+000
9.425e-003	1.301e+000
9.563e-003	1.301e+000
9.702e-003	1.302e+000
9.840e-003	1.303e+000
9.979e-003	1.304e+000
1.012e-002	1.304e+000
1.026e-002	1.305e+000
1.039e-002	1.306e+000
1.053e-002	1.307e+000
1.067e-002	1.308e+000
1.081e-002	1.309e+000
1.095e-002	1.310e+000
1.109e-002	1.310e+000
1.123e-002	1.311e+000
1.136e-002	1.312e+000
1.150e-002	1.313e+000
1.164e-002	1.314e+000
1.178e-002	1.315e+000
1.192e-002	1.315e+000
1.206e-002	1.316e+000
1.220e-002	1.317e+000
1.234e-002	1.318e+000
1.247e-002	1.319e+000
1.261e-002	1.320e+000
1.275e-002	1.321e+000
1.289e-002	1.322e+000
1.303e-002	1.323e+000
1.317e-002	1.324e+000
1.331e-002	1.325e+000
1.344e-002	1.325e+000
1.358e-002	1.326e+000
1.372e-002	1.327e+000
1.386e-002	1.328e+000
1.400e-002	1.329e+000
1.414e-002	1.330e+000
1.428e-002	1.331e+000
1.441e-002	1.332e+000
1.455e-002	1.333e+000
1.469e-002	1.334e+000
1.483e-002	1.335e+000
1.497e-002	1.336e+000
1.511e-002	1.337e+000
1.525e-002	1.338e+000
1.538e-002	1.339e+000
1.552e-002	1.340e+000
1.566e-002	1.341e+000
1.580e-002	1.342e+000
1.594e-002	1.343e+000
1.608e-002	1.344e+000
1.622e-002	1.345e+000
1.635e-002	1.346e+000
1.649e-002	1.348e+000
1.663e-002	1.349e+000
1.677e-002	1.350e+000
1.691e-002	1.351e+000
1.705e-002	1.352e+000
1.719e-002	1.353e+000
1.732e-002	1.354e+000
