XY
	CURVE (PWRDISCHARGE_#1.DTA)
-1.114e-004	2.700e-001
-2.227e-004	2.068e-001
-3.341e-004	1.974e-001
-4.454e-004	1.946e-001
-5.568e-004	1.933e-001
-6.682e-004	1.925e-001
-7.795e-004	1.921e-001
-8.909e-004	1.915e-001
-1.002e-003	1.911e-001
-1.114e-003	1.901e-001
-1.225e-003	1.889e-001
-1.336e-003	1.878e-001
-1.448e-003	1.871e-001
-1.559e-003	1.862e-001
-1.670e-003	1.848e-001
-1.782e-003	1.835e-001
-1.893e-003	1.818e-001
-2.005e-003	1.799e-001
-2.116e-003	1.783e-001
-2.227e-003	1.771e-001
-2.339e-003	1.752e-001
-2.450e-003	1.735e-001
-2.561e-003	1.722e-001
-2.673e-003	1.710e-001
-2.784e-003	1.694e-001
-2.895e-003	1.680e-001
-3.007e-003	1.667e-001
-3.118e-003	1.647e-001
-3.229e-003	1.620e-001
-3.341e-003	1.605e-001
-3.452e-003	1.595e-001
-3.564e-003	1.587e-001
-3.675e-003	1.575e-001
-3.786e-003	1.564e-001
-3.898e-003	1.544e-001
-4.009e-003	1.523e-001
-4.120e-003	1.506e-001
-4.232e-003	1.476e-001
-4.343e-003	1.455e-001
-4.454e-003	1.447e-001
-4.566e-003	1.437e-001
-4.677e-003	1.420e-001
-4.789e-003	1.406e-001
-4.900e-003	1.391e-001
-5.011e-003	1.377e-001
-5.123e-003	1.357e-001
-5.234e-003	1.345e-001
-5.345e-003	1.338e-001
-5.457e-003	1.321e-001
-5.568e-003	1.301e-001
-5.679e-003	1.265e-001
-5.791e-003	1.243e-001
-5.902e-003	1.229e-001
-6.013e-003	1.218e-001
-6.125e-003	1.203e-001
-6.236e-003	1.185e-001
-6.348e-003	1.163e-001
-6.459e-003	1.136e-001
-6.570e-003	1.124e-001
-6.682e-003	1.116e-001
-6.793e-003	1.099e-001
-6.904e-003	1.076e-001
-7.016e-003	1.067e-001
-7.127e-003	1.066e-001
-7.238e-003	1.055e-001
-7.350e-003	1.039e-001
-7.461e-003	1.029e-001
-7.573e-003	1.020e-001
-7.684e-003	1.005e-001
-7.795e-003	9.866e-002
-7.907e-003	9.681e-002
-8.018e-003	9.290e-002
-8.129e-003	8.878e-002
-8.241e-003	8.766e-002
-8.352e-003	8.742e-002
-8.463e-003	8.690e-002
-8.575e-003	8.586e-002
-8.686e-003	8.395e-002
-8.797e-003	8.175e-002
-8.909e-003	7.856e-002
-9.020e-003	7.686e-002
-9.132e-003	7.596e-002
-9.243e-003	7.478e-002
-9.354e-003	7.296e-002
-9.466e-003	7.117e-002
-9.577e-003	6.903e-002
-9.688e-003	6.720e-002
-9.800e-003	6.594e-002
-9.911e-003	6.464e-002
-1.002e-002	6.363e-002
-1.013e-002	6.187e-002
-1.025e-002	5.863e-002
-1.036e-002	5.447e-002
-1.047e-002	5.360e-002
-1.058e-002	5.325e-002
-1.069e-002	5.301e-002
-1.080e-002	5.284e-002
-1.084e-002	5.134e-002
-1.091e-002	5.029e-002
-1.102e-002	5.001e-002
-1.113e-002	4.998e-002
-1.124e-002	4.998e-002
-1.135e-002	4.999e-002
-1.146e-002	4.995e-002
-1.157e-002	4.995e-002
-1.167e-002	4.991e-002
-1.178e-002	4.989e-002
-1.188e-002	4.990e-002
-1.199e-002	5.003e-002
-1.209e-002	4.999e-002
-1.220e-002	4.998e-002
-1.230e-002	4.996e-002
-1.241e-002	4.996e-002
-1.251e-002	4.994e-002
-1.262e-002	4.993e-002
-1.272e-002	4.995e-002
-1.282e-002	4.998e-002
-1.293e-002	4.992e-002
-1.303e-002	4.986e-002
-1.313e-002	5.000e-002
-1.323e-002	5.000e-002
-1.333e-002	4.999e-002
-1.343e-002	4.999e-002
-1.353e-002	4.998e-002
-1.363e-002	4.991e-002
-1.373e-002	4.993e-002
-1.383e-002	4.997e-002
-1.392e-002	4.999e-002
-1.402e-002	4.995e-002
-1.412e-002	4.997e-002
