,sensor [GSS 100%],
,CO2,
04/19/23 18:13:02.241,"8700",
04/19/23 18:13:04.231,"8700",
04/19/23 18:13:06.234,"8700",
04/19/23 18:13:08.238,"8700",
04/19/23 18:13:10.231,"8700",
04/19/23 18:13:12.228,"8700",
04/19/23 18:13:14.228,"8700",
04/19/23 18:13:16.234,"8700",
04/19/23 18:13:18.239,"8700",
04/19/23 18:13:20.226,"8700",
04/19/23 18:13:22.240,"8600",
04/19/23 18:13:24.227,"8600",
04/19/23 18:13:26.236,"8600",
04/19/23 18:13:28.227,"8600",
04/19/23 18:13:30.239,"8600",
04/19/23 18:13:32.238,"8600",
04/19/23 18:13:34.227,"8600",
04/19/23 18:13:36.232,"8600",
04/19/23 18:13:38.235,"8600",
04/19/23 18:13:40.234,"8600",
04/19/23 18:13:42.229,"8600",
04/19/23 18:13:44.237,"8600",
04/19/23 18:13:46.238,"8500",
04/19/23 18:13:48.230,"8500",
04/19/23 18:13:50.236,"8500",
04/19/23 18:13:52.237,"8500",
04/19/23 18:13:54.238,"8500",
04/19/23 18:13:56.241,"8500",
04/19/23 18:13:58.235,"8500",
04/19/23 18:14:00.227,"8500",
04/19/23 18:14:02.231,"8500",
04/19/23 18:14:04.236,"8500",
04/19/23 18:14:06.227,"8500",
04/19/23 18:14:08.242,"8400",
04/19/23 18:14:10.231,"8400",
04/19/23 18:14:12.238,"8400",
04/19/23 18:14:14.230,"8400",
04/19/23 18:14:16.235,"8400",
04/19/23 18:14:18.242,"8400",
04/19/23 18:14:20.243,"8400",
04/19/23 18:14:22.242,"8400",
04/19/23 18:14:24.232,"8400",
04/19/23 18:14:26.228,"8400",
04/19/23 18:14:28.242,"8400",
04/19/23 18:14:30.243,"8400",
04/19/23 18:14:32.232,"8300",
04/19/23 18:14:34.236,"8300",
04/19/23 18:14:36.243,"8300",
04/19/23 18:14:38.235,"8300",
04/19/23 18:14:40.242,"8300",
04/19/23 18:14:42.238,"8300",
04/19/23 18:14:44.239,"8300",
04/19/23 18:14:46.235,"8300",
04/19/23 18:14:48.233,"8300",
04/19/23 18:14:50.243,"8300",
04/19/23 18:14:52.241,"8300",
04/19/23 18:14:54.231,"8300",
04/19/23 18:14:56.242,"8300",
04/19/23 18:14:58.237,"8300",
04/19/23 18:15:00.242,"8300",
04/19/23 18:15:02.240,"8200",
04/19/23 18:15:04.235,"8200",
04/19/23 18:15:06.242,"8200",
04/19/23 18:15:08.228,"8200",
04/19/23 18:15:10.240,"8200",
04/19/23 18:15:12.240,"8200",
04/19/23 18:15:14.241,"8200",
04/19/23 18:15:16.241,"8200",
04/19/23 18:15:18.235,"8200",
04/19/23 18:15:20.232,"8200",
04/19/23 18:15:22.235,"8200",
04/19/23 18:15:24.232,"8200",
04/19/23 18:15:26.231,"8200",
04/19/23 18:15:28.234,"8200",
04/19/23 18:15:30.242,"8100",
04/19/23 18:15:32.239,"8100",
04/19/23 18:15:34.229,"8100",
04/19/23 18:15:36.233,"8100",
04/19/23 18:15:38.243,"8100",
04/19/23 18:15:40.239,"8100",
04/19/23 18:15:42.234,"8100",
04/19/23 18:15:44.229,"8100",
04/19/23 18:15:46.230,"8100",
