,sensor [GSS 100%],
,CO2,
04/21/23 22:27:11.604,"92200",
04/21/23 22:27:13.593,"92400",
04/21/23 22:27:15.600,"92400",
04/21/23 22:27:17.590,"92400",
04/21/23 22:27:19.589,"92600",
04/21/23 22:27:21.602,"92600",
04/21/23 22:27:23.596,"92600",
04/21/23 22:27:25.589,"92600",
04/21/23 22:27:27.598,"92600",
04/21/23 22:27:29.589,"92600",
04/21/23 22:27:31.598,"92600",
04/21/23 22:27:33.589,"92600",
04/21/23 22:27:35.603,"92600",
04/21/23 22:27:37.602,"92700",
04/21/23 22:27:39.595,"92700",
04/21/23 22:27:41.592,"92900",
04/21/23 22:27:43.594,"92900",
04/21/23 22:27:45.602,"93100",
04/21/23 22:27:47.600,"93100",
04/21/23 22:27:49.598,"93100",
04/21/23 22:27:51.592,"93100",
04/21/23 22:27:53.599,"93100",
04/21/23 22:27:55.590,"93100",
04/21/23 22:27:57.589,"92900",
04/21/23 22:27:59.602,"92700",
04/21/23 22:28:01.597,"92700",
04/21/23 22:28:03.589,"92700",
04/21/23 22:28:05.601,"92700",
04/21/23 22:28:07.604,"92700",
04/21/23 22:28:09.593,"92700",
04/21/23 22:28:11.600,"92700",
04/21/23 22:28:13.603,"92700",
04/21/23 22:28:15.590,"92900",
04/21/23 22:28:17.602,"92900",
04/21/23 22:28:19.594,"92900",
04/21/23 22:28:21.602,"92900",
04/21/23 22:28:23.599,"92900",
04/21/23 22:28:25.591,"93100",
04/21/23 22:28:27.600,"93100",
04/21/23 22:28:29.599,"93100",
04/21/23 22:28:31.597,"93100",
04/21/23 22:28:33.602,"92900",
04/21/23 22:28:35.601,"93100",
04/21/23 22:28:37.595,"93100",
04/21/23 22:28:39.604,"92900",
04/21/23 22:28:41.592,"92700",
04/21/23 22:28:43.603,"92900",
04/21/23 22:28:45.596,"92900",
04/21/23 22:28:47.590,"92900",
04/21/23 22:28:49.604,"92900",
04/21/23 22:28:51.604,"92900",
04/21/23 22:28:53.600,"92900",
04/21/23 22:28:55.601,"93100",
04/21/23 22:28:57.597,"93100",
04/21/23 22:28:59.591,"93100",
04/21/23 22:29:01.597,"92900",
04/21/23 22:29:03.592,"92900",
04/21/23 22:29:05.597,"92900",
04/21/23 22:29:07.602,"92900",
04/21/23 22:29:09.599,"93100",
04/21/23 22:29:11.591,"93100",
04/21/23 22:29:13.600,"93100",
04/21/23 22:29:15.601,"93100",
04/21/23 22:29:17.593,"93100",
04/21/23 22:29:19.605,"93100",
04/21/23 22:29:21.592,"93100",
04/21/23 22:29:23.606,"92900",
04/21/23 22:29:25.597,"93100",
04/21/23 22:29:27.598,"93100",
04/21/23 22:29:29.596,"93300",
04/21/23 22:29:31.606,"93300",
04/21/23 22:29:33.605,"93300",
04/21/23 22:29:35.593,"93300",
04/21/23 22:29:37.598,"93300",
04/21/23 22:29:39.604,"93300",
04/21/23 22:29:41.606,"93300",
04/21/23 22:29:43.598,"93300",
04/21/23 22:29:45.593,"93300",
04/21/23 22:29:47.602,"93300",
04/21/23 22:29:49.604,"93300",
04/21/23 22:29:51.593,"93300",
04/21/23 22:29:53.593,"93100",
04/21/23 22:29:55.607,"93100",
04/21/23 22:29:57.593,"92900",
04/21/23 22:29:59.601,"92700",
04/21/23 22:30:01.607,"92700",
04/21/23 22:30:03.598,"92700",
04/21/23 22:30:05.606,"92700",
04/21/23 22:30:07.603,"92700",
04/21/23 22:30:09.604,"92700",
04/21/23 22:30:11.598,"92700",
04/21/23 22:30:13.599,"92900",
04/21/23 22:30:15.602,"92700",
04/21/23 22:30:17.604,"93100",
04/21/23 22:30:19.595,"92700",
04/21/23 22:30:21.600,"92700",
04/21/23 22:30:23.593,"92700",
04/21/23 22:30:25.596,"92700",
04/21/23 22:30:27.602,"92700",
04/21/23 22:30:29.597,"92600",
04/21/23 22:30:31.607,"92700",
04/21/23 22:30:33.602,"92700",
04/21/23 22:30:35.599,"92700",
04/21/23 22:30:37.604,"92700",
04/21/23 22:30:39.595,"93100",
04/21/23 22:30:41.606,"93100",
04/21/23 22:30:43.604,"93100",
04/21/23 22:30:45.603,"93100",
04/21/23 22:30:47.592,"92900",
04/21/23 22:30:49.594,"93100",
04/21/23 22:30:51.606,"93100",
04/21/23 22:30:53.594,"93100",
04/21/23 22:30:55.599,"93100",
04/21/23 22:30:57.603,"92900",
04/21/23 22:30:59.598,"93100",
04/21/23 22:31:01.594,"93100",
04/21/23 22:31:03.598,"92700",
04/21/23 22:31:05.597,"92900",
04/21/23 22:31:07.601,"92900",
04/21/23 22:31:09.608,"92700",
04/21/23 22:31:11.597,"92900",
04/21/23 22:31:13.601,"92900",
04/21/23 22:31:15.599,"92900",
04/21/23 22:31:17.603,"92900",
04/21/23 22:31:19.597,"92900",
04/21/23 22:31:21.606,"92900",
04/21/23 22:31:23.608,"93100",
04/21/23 22:31:25.602,"92900",
04/21/23 22:31:27.595,"92900",
04/21/23 22:31:29.602,"92900",
04/21/23 22:31:31.597,"92900",
04/21/23 22:31:33.600,"92700",
04/21/23 22:31:35.604,"92900",
04/21/23 22:31:37.596,"93100",
04/21/23 22:31:39.604,"93100",
04/21/23 22:31:41.600,"92700",
04/21/23 22:31:43.596,"92700",
04/21/23 22:31:45.600,"92700",
04/21/23 22:31:47.598,"92600",
04/21/23 22:31:49.594,"92700",
04/21/23 22:31:51.604,"92700",
04/21/23 22:31:53.603,"92700",
04/21/23 22:31:55.605,"92700",
04/21/23 22:31:57.599,"92700",
04/21/23 22:31:59.607,"92700",
04/21/23 22:32:01.593,"92700",
04/21/23 22:32:03.609,"92700",
04/21/23 22:32:05.608,"92700",
04/21/23 22:32:07.608,"92700",
04/21/23 22:32:09.599,"92600",
04/21/23 22:32:11.607,"92600",
04/21/23 22:32:13.600,"92400",
04/21/23 22:32:15.597,"92400",
04/21/23 22:32:17.604,"92400",
04/21/23 22:32:19.602,"92200",
04/21/23 22:32:21.604,"92200",
04/21/23 22:32:23.598,"92000",
04/21/23 22:32:25.608,"91900",
04/21/23 22:32:27.600,"91900",
04/21/23 22:32:29.600,"91700",
04/21/23 22:32:31.595,"91700",
04/21/23 22:32:33.597,"91500",
04/21/23 22:32:35.597,"91500",
04/21/23 22:32:37.595,"91200",
04/21/23 22:32:39.605,"90800",
04/21/23 22:32:41.601,"90600",
04/21/23 22:32:43.595,"90600",
04/21/23 22:32:45.603,"90500",
04/21/23 22:32:47.599,"90300",
04/21/23 22:32:49.595,"89900",
04/21/23 22:32:51.596,"89800",
04/21/23 22:32:53.608,"89600",
04/21/23 22:32:55.608,"89200",
04/21/23 22:32:57.596,"88900",
04/21/23 22:32:59.598,"88600",
04/21/23 22:33:01.606,"88200",
04/21/23 22:33:03.602,"88100",
04/21/23 22:33:05.608,"87900",
04/21/23 22:33:07.609,"87600",
04/21/23 22:33:09.604,"87200",
04/21/23 22:33:11.598,"86900",
04/21/23 22:33:13.607,"86600",
04/21/23 22:33:15.601,"86300",
04/21/23 22:33:17.609,"85600",
04/21/23 22:33:19.599,"85300",
04/21/23 22:33:21.609,"84800",
04/21/23 22:33:23.602,"84400",
04/21/23 22:33:25.598,"84100",
04/21/23 22:33:27.605,"83500",
04/21/23 22:33:29.601,"83000",
04/21/23 22:33:31.596,"82500",
04/21/23 22:33:33.606,"81900",
04/21/23 22:33:35.606,"81600",
04/21/23 22:33:37.597,"80900",
04/21/23 22:33:39.607,"80600",
04/21/23 22:33:41.600,"80100",
04/21/23 22:33:43.597,"79600",
04/21/23 22:33:45.608,"79200",
04/21/23 22:33:47.600,"78700",
04/21/23 22:33:49.610,"78300",
04/21/23 22:33:51.603,"77700",
04/21/23 22:33:53.599,"77200",
04/21/23 22:33:55.608,"76800",
04/21/23 22:33:57.599,"76400",
04/21/23 22:33:59.608,"75800",
04/21/23 22:34:01.601,"75300",
04/21/23 22:34:03.609,"74700",
04/21/23 22:34:05.604,"74300",
04/21/23 22:34:07.600,"73500",
04/21/23 22:34:09.611,"73000",
04/21/23 22:34:11.603,"72300",
04/21/23 22:34:13.600,"71600",
04/21/23 22:34:15.601,"71100",
04/21/23 22:34:17.601,"70600",
04/21/23 22:34:19.596,"69900",
04/21/23 22:34:21.605,"69400",
04/21/23 22:34:23.600,"68700",
04/21/23 22:34:25.600,"68100",
04/21/23 22:34:27.604,"67500",
04/21/23 22:34:29.609,"66900",
04/21/23 22:34:31.605,"66500",
04/21/23 22:34:33.600,"65800",
04/21/23 22:34:35.610,"65200",
04/21/23 22:34:37.603,"64600",
04/21/23 22:34:39.599,"64200",
04/21/23 22:34:41.606,"63600",
04/21/23 22:34:43.610,"63200",
04/21/23 22:34:45.603,"62700",
04/21/23 22:34:47.604,"62300",
04/21/23 22:34:49.597,"62000",
04/21/23 22:34:51.610,"61600",
04/21/23 22:34:53.609,"61200",
04/21/23 22:34:55.602,"60800",
04/21/23 22:34:57.611,"60300",
04/21/23 22:34:59.599,"59900",
04/21/23 22:35:01.605,"59700",
04/21/23 22:35:03.597,"59400",
04/21/23 22:35:05.611,"58900",
04/21/23 22:35:07.612,"58600",
04/21/23 22:35:09.597,"58400",
04/21/23 22:35:11.607,"58200",
04/21/23 22:35:13.612,"58000",
04/21/23 22:35:15.603,"57700",
04/21/23 22:35:17.611,"57500",
04/21/23 22:35:19.605,"57200",
04/21/23 22:35:21.602,"56900",
04/21/23 22:35:23.608,"56700",
04/21/23 22:35:25.610,"56500",
04/21/23 22:35:27.613,"56200",
04/21/23 22:35:29.599,"56000",
04/21/23 22:35:31.604,"55800",
04/21/23 22:35:33.604,"55600",
04/21/23 22:35:35.606,"55400",
04/21/23 22:35:37.603,"55100",
04/21/23 22:35:39.600,"55000",
04/21/23 22:35:41.610,"54800",
04/21/23 22:35:43.606,"54500",
04/21/23 22:35:45.600,"54400",
04/21/23 22:35:47.612,"54300",
04/21/23 22:35:49.603,"54100",
04/21/23 22:35:51.599,"54000",
04/21/23 22:35:53.608,"53700",
04/21/23 22:35:55.601,"53400",
04/21/23 22:35:57.609,"53200",
04/21/23 22:35:59.605,"53000",
04/21/23 22:36:01.605,"52900",
04/21/23 22:36:03.613,"52700",
04/21/23 22:36:05.604,"52400",
04/21/23 22:36:07.599,"52200",
04/21/23 22:36:09.608,"52000",
04/21/23 22:36:11.602,"51800",
04/21/23 22:36:13.611,"51500",
04/21/23 22:36:15.610,"51300",
04/21/23 22:36:17.610,"51100",
04/21/23 22:36:19.603,"50800",
04/21/23 22:36:21.605,"50700",
04/21/23 22:36:23.602,"50400",
04/21/23 22:36:25.606,"50100",
04/21/23 22:36:27.603,"50000",
04/21/23 22:36:29.598,"49800",
04/21/23 22:36:31.607,"49500",
04/21/23 22:36:33.600,"49400",
04/21/23 22:36:35.599,"49200",
04/21/23 22:36:37.606,"48900",
04/21/23 22:36:39.602,"48700",
04/21/23 22:36:41.614,"48600",
04/21/23 22:36:43.608,"48400",
04/21/23 22:36:45.613,"48200",
04/21/23 22:36:47.606,"48000",
04/21/23 22:36:49.600,"47900",
04/21/23 22:36:51.602,"47700",
04/21/23 22:36:53.602,"47500",
04/21/23 22:36:55.613,"47300",
04/21/23 22:36:57.605,"47200",
04/21/23 22:36:59.613,"47000",
04/21/23 22:37:01.611,"47000",
04/21/23 22:37:03.605,"46800",
04/21/23 22:37:05.604,"46700",
04/21/23 22:37:07.605,"46600",
04/21/23 22:37:09.602,"46500",
04/21/23 22:37:11.600,"46400",
04/21/23 22:37:13.600,"46300",
04/21/23 22:37:15.612,"46300",
04/21/23 22:37:17.612,"46200",
04/21/23 22:37:19.607,"46100",
04/21/23 22:37:21.603,"46200",
04/21/23 22:37:23.613,"46200",
04/21/23 22:37:25.609,"46000",
04/21/23 22:37:27.604,"46000",
04/21/23 22:37:29.614,"46000",
04/21/23 22:37:31.613,"45900",
04/21/23 22:37:33.606,"45900",
04/21/23 22:37:35.600,"46000",
04/21/23 22:37:37.601,"46200",
04/21/23 22:37:39.600,"46300",
04/21/23 22:37:41.604,"46300",
04/21/23 22:37:43.612,"46500",
04/21/23 22:37:45.611,"46600",
04/21/23 22:37:47.607,"46600",
04/21/23 22:37:49.607,"46800",
04/21/23 22:37:51.606,"46900",
04/21/23 22:37:53.611,"47100",
04/21/23 22:37:55.603,"47300",
04/21/23 22:37:57.614,"47600",
04/21/23 22:37:59.612,"47900",
04/21/23 22:38:01.605,"48000",
04/21/23 22:38:03.616,"48200",
04/21/23 22:38:05.609,"48500",
