,sensor [GSS 100%],
,CO2,
04/24/23 22:11:21.687,"88300",
04/24/23 22:11:23.678,"88500",
04/24/23 22:11:25.685,"88500",
04/24/23 22:11:27.681,"88800",
04/24/23 22:11:29.678,"88700",
04/24/23 22:11:31.685,"88800",
04/24/23 22:11:33.679,"89000",
04/24/23 22:11:35.685,"89000",
04/24/23 22:11:37.685,"89000",
04/24/23 22:11:39.674,"89200",
04/24/23 22:11:41.682,"89200",
04/24/23 22:11:43.678,"89200",
04/24/23 22:11:45.675,"89300",
04/24/23 22:11:47.678,"89500",
04/24/23 22:11:49.685,"89700",
04/24/23 22:11:51.675,"89700",
04/24/23 22:11:53.683,"89800",
04/24/23 22:11:55.684,"90200",
04/24/23 22:11:57.683,"90200",
04/24/23 22:11:59.680,"90200",
04/24/23 22:12:01.685,"90200",
04/24/23 22:12:03.672,"90200",
04/24/23 22:12:05.678,"90000",
04/24/23 22:12:07.685,"90000",
04/24/23 22:12:09.672,"90000",
04/24/23 22:12:11.673,"89800",
04/24/23 22:12:13.675,"89700",
04/24/23 22:12:15.683,"89800",
04/24/23 22:12:17.679,"89800",
04/24/23 22:12:19.671,"90000",
04/24/23 22:12:21.681,"90000",
04/24/23 22:12:23.677,"90200",
04/24/23 22:12:25.673,"90200",
04/24/23 22:12:27.679,"90200",
04/24/23 22:12:29.674,"90200",
04/24/23 22:12:31.679,"90400",
04/24/23 22:12:33.685,"90200",
04/24/23 22:12:35.681,"90400",
04/24/23 22:12:37.687,"90500",
04/24/23 22:12:39.673,"90500",
04/24/23 22:12:41.676,"90500",
04/24/23 22:12:43.679,"90500",
04/24/23 22:12:45.681,"90700",
04/24/23 22:12:47.674,"90900",
04/24/23 22:12:49.676,"90900",
04/24/23 22:12:51.686,"91000",
04/24/23 22:12:53.686,"91200",
04/24/23 22:12:55.683,"91000",
04/24/23 22:12:57.685,"91200",
04/24/23 22:12:59.674,"91400",
04/24/23 22:13:01.685,"91200",
04/24/23 22:13:03.679,"91200",
04/24/23 22:13:05.679,"91400",
04/24/23 22:13:07.686,"91000",
04/24/23 22:13:09.687,"91200",
04/24/23 22:13:11.673,"91400",
04/24/23 22:13:13.675,"91400",
04/24/23 22:13:15.675,"91600",
04/24/23 22:13:17.684,"91600",
04/24/23 22:13:19.687,"91700",
04/24/23 22:13:21.678,"91700",
04/24/23 22:13:23.676,"91700",
04/24/23 22:13:25.686,"91600",
04/24/23 22:13:27.681,"91700",
04/24/23 22:13:29.675,"91700",
04/24/23 22:13:31.676,"91700",
04/24/23 22:13:33.674,"91900",
04/24/23 22:13:35.686,"91900",
04/24/23 22:13:37.686,"91900",
04/24/23 22:13:39.687,"91900",
04/24/23 22:13:41.685,"91700",
04/24/23 22:13:43.678,"91700",
04/24/23 22:13:45.685,"91700",
04/24/23 22:13:47.688,"91900",
04/24/23 22:13:49.676,"91900",
04/24/23 22:13:51.673,"91900",
04/24/23 22:13:53.680,"92100",
04/24/23 22:13:55.677,"92300",
04/24/23 22:13:57.688,"92300",
04/24/23 22:13:59.685,"92300",
04/24/23 22:14:01.680,"92100",
04/24/23 22:14:03.677,"92100",
04/24/23 22:14:05.675,"92400",
04/24/23 22:14:07.675,"92400",
04/24/23 22:14:09.687,"92300",
04/24/23 22:14:11.684,"92300",
04/24/23 22:14:13.687,"92300",
04/24/23 22:14:15.688,"92300",
04/24/23 22:14:17.677,"92300",
04/24/23 22:14:19.689,"92400",
04/24/23 22:14:21.688,"92400",
04/24/23 22:14:23.675,"92400",
04/24/23 22:14:25.688,"92400",
04/24/23 22:14:27.676,"92600",
04/24/23 22:14:29.675,"92600",
04/24/23 22:14:31.679,"92600",
04/24/23 22:14:33.682,"92600",
04/24/23 22:14:35.674,"92800",
04/24/23 22:14:37.678,"92900",
04/24/23 22:14:39.680,"92900",
04/24/23 22:14:41.675,"92800",
04/24/23 22:14:43.680,"92600",
04/24/23 22:14:45.687,"92800",
04/24/23 22:14:47.680,"92800",
04/24/23 22:14:49.688,"92800",
04/24/23 22:14:51.689,"92800",
04/24/23 22:14:53.689,"92800",
04/24/23 22:14:55.683,"92900",
04/24/23 22:14:57.682,"92800",
04/24/23 22:14:59.680,"92900",
04/24/23 22:15:01.682,"92800",
04/24/23 22:15:03.680,"92900",
04/24/23 22:15:05.680,"92900",
04/24/23 22:15:07.683,"92800",
04/24/23 22:15:09.678,"92800",
04/24/23 22:15:11.689,"92900",
04/24/23 22:15:13.679,"92900",
04/24/23 22:15:15.675,"92900",
04/24/23 22:15:17.685,"92900",
04/24/23 22:15:19.676,"92800",
04/24/23 22:15:21.675,"92900",
04/24/23 22:15:23.687,"92800",
04/24/23 22:15:25.681,"92900",
04/24/23 22:15:27.684,"92900",
04/24/23 22:15:29.680,"92800",
04/24/23 22:15:31.685,"92900",
04/24/23 22:15:33.687,"92800",
04/24/23 22:15:35.685,"92800",
04/24/23 22:15:37.688,"92800",
04/24/23 22:15:39.680,"92800",
04/24/23 22:15:41.685,"92800",
04/24/23 22:15:43.688,"92800",
04/24/23 22:15:45.684,"92800",
04/24/23 22:15:47.677,"92800",
04/24/23 22:15:49.677,"92800",
04/24/23 22:15:51.681,"92800",
04/24/23 22:15:53.677,"92900",
04/24/23 22:15:55.680,"92900",
04/24/23 22:15:57.689,"92800",
04/24/23 22:15:59.688,"92900",
04/24/23 22:16:01.677,"92800",
04/24/23 22:16:03.680,"92800",
04/24/23 22:16:05.679,"92800",
04/24/23 22:16:07.675,"92800",
04/24/23 22:16:09.682,"92800",
04/24/23 22:16:11.690,"92800",
04/24/23 22:16:13.677,"92900",
04/24/23 22:16:15.691,"92900",
04/24/23 22:16:17.679,"92900",
04/24/23 22:16:19.688,"92800",
04/24/23 22:16:21.678,"92800",
04/24/23 22:16:23.680,"92800",
04/24/23 22:16:25.688,"92900",
04/24/23 22:16:27.691,"92900",
04/24/23 22:16:29.686,"93100",
04/24/23 22:16:31.682,"92800",
04/24/23 22:16:33.688,"92800",
04/24/23 22:16:35.690,"92800",
04/24/23 22:16:37.690,"92800",
04/24/23 22:16:39.692,"92800",
04/24/23 22:16:41.686,"92800",
04/24/23 22:16:43.678,"92600",
04/24/23 22:16:45.680,"92600",
04/24/23 22:16:47.677,"92600",
04/24/23 22:16:49.685,"92600",
04/24/23 22:16:51.679,"92400",
04/24/23 22:16:53.676,"92400",
04/24/23 22:16:55.677,"92400",
04/24/23 22:16:57.687,"92400",
04/24/23 22:16:59.688,"92400",
04/24/23 22:17:01.680,"92300",
04/24/23 22:17:03.691,"92300",
04/24/23 22:17:05.678,"92300",
04/24/23 22:17:07.685,"92300",
04/24/23 22:17:09.690,"92100",
04/24/23 22:17:11.683,"92300",
04/24/23 22:17:13.682,"92100",
04/24/23 22:17:15.680,"91900",
04/24/23 22:17:17.681,"91700",
04/24/23 22:17:19.682,"91700",
04/24/23 22:17:21.681,"91600",
04/24/23 22:17:23.677,"91600",
04/24/23 22:17:25.680,"91600",
04/24/23 22:17:27.688,"91600",
04/24/23 22:17:29.688,"91400",
04/24/23 22:17:31.692,"91000",
