,sensor [GSS 100%],
,CO2,
04/25/23 15:06:14.294,"103100",
04/25/23 15:06:16.283,"103300",
04/25/23 15:06:18.281,"103300",
04/25/23 15:06:20.292,"103300",
04/25/23 15:06:22.292,"103100",
04/25/23 15:06:24.287,"103300",
04/25/23 15:06:26.285,"103300",
04/25/23 15:06:28.289,"103300",
04/25/23 15:06:30.284,"103300",
04/25/23 15:06:32.280,"103500",
04/25/23 15:06:34.292,"103500",
04/25/23 15:06:36.286,"103500",
04/25/23 15:06:38.293,"103300",
04/25/23 15:06:40.293,"103300",
04/25/23 15:06:42.294,"103300",
04/25/23 15:06:44.286,"103300",
04/25/23 15:06:46.279,"103300",
04/25/23 15:06:48.291,"103300",
04/25/23 15:06:50.283,"103300",
04/25/23 15:06:52.289,"103300",
04/25/23 15:06:54.288,"103700",
04/25/23 15:06:56.280,"103700",
04/25/23 15:06:58.279,"103500",
04/25/23 15:07:00.284,"103500",
04/25/23 15:07:02.287,"103500",
04/25/23 15:07:04.290,"103500",
04/25/23 15:07:06.284,"103500",
04/25/23 15:07:08.284,"103500",
04/25/23 15:07:10.284,"103500",
04/25/23 15:07:12.281,"103500",
04/25/23 15:07:14.292,"103500",
04/25/23 15:07:16.292,"103500",
04/25/23 15:07:18.292,"103500",
04/25/23 15:07:20.282,"103700",
04/25/23 15:07:22.282,"103500",
04/25/23 15:07:24.292,"103500",
04/25/23 15:07:26.288,"103500",
04/25/23 15:07:28.292,"103500",
04/25/23 15:07:30.288,"103700",
04/25/23 15:07:32.280,"103500",
04/25/23 15:07:34.279,"103500",
04/25/23 15:07:36.294,"103500",
04/25/23 15:07:38.289,"103700",
04/25/23 15:07:40.289,"103500",
04/25/23 15:07:42.280,"103500",
04/25/23 15:07:44.290,"103500",
04/25/23 15:07:46.290,"103500",
04/25/23 15:07:48.293,"103700",
04/25/23 15:07:50.294,"103500",
04/25/23 15:07:52.290,"103500",
04/25/23 15:07:54.283,"103700",
04/25/23 15:07:56.289,"103700",
04/25/23 15:07:58.286,"103700",
04/25/23 15:08:00.283,"103700",
04/25/23 15:08:02.288,"103700",
04/25/23 15:08:04.290,"103800",
04/25/23 15:08:06.293,"103700",
04/25/23 15:08:08.287,"103800",
04/25/23 15:08:10.286,"103700",
04/25/23 15:08:12.295,"103700",
