,sensor [GSS 100%],
,CO2,
04/30/23 17:46:12.751,"102800",
04/30/23 17:46:14.746,"102800",
04/30/23 17:46:16.749,"102800",
04/30/23 17:46:18.746,"102800",
04/30/23 17:46:20.736,"102800",
04/30/23 17:46:22.737,"102800",
04/30/23 17:46:24.744,"102800",
04/30/23 17:46:26.744,"102800",
04/30/23 17:46:28.739,"102800",
04/30/23 17:46:30.748,"102800",
04/30/23 17:46:32.742,"102800",
04/30/23 17:46:34.745,"102800",
04/30/23 17:46:36.735,"102800",
04/30/23 17:46:38.739,"102600",
04/30/23 17:46:40.747,"102800",
04/30/23 17:46:42.740,"102800",
04/30/23 17:46:44.735,"103000",
04/30/23 17:46:46.739,"103000",
04/30/23 17:46:48.739,"103200",
04/30/23 17:46:50.742,"102800",
04/30/23 17:46:52.746,"102800",
04/30/23 17:46:54.749,"102800",
04/30/23 17:46:56.746,"102800",
04/30/23 17:46:58.748,"102800",
04/30/23 17:47:00.750,"102800",
04/30/23 17:47:02.749,"102600",
04/30/23 17:47:04.735,"102800",
04/30/23 17:47:06.747,"102800",
04/30/23 17:47:08.748,"102800",
04/30/23 17:47:10.749,"102800",
04/30/23 17:47:12.739,"102800",
04/30/23 17:47:14.735,"102600",
04/30/23 17:47:16.741,"102600",
04/30/23 17:47:18.747,"102800",
04/30/23 17:47:20.742,"102800",
04/30/23 17:47:22.748,"102800",
04/30/23 17:47:24.739,"102800",
04/30/23 17:47:26.736,"102800",
04/30/23 17:47:28.737,"102600",
04/30/23 17:47:30.747,"102800",
04/30/23 17:47:32.736,"102800",
04/30/23 17:47:34.747,"102600",
04/30/23 17:47:36.747,"102800",
04/30/23 17:47:38.748,"102800",
04/30/23 17:47:40.750,"102800",
04/30/23 17:47:42.737,"102800",
04/30/23 17:47:44.737,"103000",
04/30/23 17:47:46.749,"102800",
04/30/23 17:47:48.749,"103000",
04/30/23 17:47:50.750,"103200",
04/30/23 17:47:52.741,"103000",
04/30/23 17:47:54.746,"103000",
04/30/23 17:47:56.737,"102800",
04/30/23 17:47:58.751,"102800",
04/30/23 17:48:00.751,"102800",
04/30/23 17:48:02.749,"102800",
04/30/23 17:48:04.739,"102800",
04/30/23 17:48:06.741,"102600",
04/30/23 17:48:08.746,"102800",
04/30/23 17:48:10.748,"102600",
04/30/23 17:48:12.750,"102600",
04/30/23 17:48:14.747,"102600",
04/30/23 17:48:16.749,"102600",
04/30/23 17:48:18.751,"102800",
04/30/23 17:48:20.740,"102800",
04/30/23 17:48:22.748,"103000",
04/30/23 17:48:24.740,"103000",
04/30/23 17:48:26.739,"103200",
04/30/23 17:48:28.746,"103200",
04/30/23 17:48:30.740,"103200",
04/30/23 17:48:32.743,"103000",
04/30/23 17:48:34.741,"103000",
04/30/23 17:48:36.744,"103000",
04/30/23 17:48:38.749,"102800",
04/30/23 17:48:40.740,"102800",
04/30/23 17:48:42.749,"102800",
04/30/23 17:48:44.752,"103000",
04/30/23 17:48:46.742,"103000",
04/30/23 17:48:48.745,"103200",
04/30/23 17:48:50.743,"103000",
04/30/23 17:48:52.744,"103000",
04/30/23 17:48:54.747,"103000",
04/30/23 17:48:56.749,"102800",
