,sensor [GSS 100%],
,CO2,
05/05/23 16:39:25.083,"97900",
05/05/23 16:39:27.081,"97900",
05/05/23 16:39:29.081,"97900",
05/05/23 16:39:31.081,"98100",
05/05/23 16:39:33.081,"98100",
05/05/23 16:39:35.082,"98200",
05/05/23 16:39:37.081,"98200",
05/05/23 16:39:39.082,"98400",
05/05/23 16:39:41.082,"98600",
05/05/23 16:39:43.081,"98600",
05/05/23 16:39:45.082,"98600",
05/05/23 16:39:47.082,"98600",
05/05/23 16:39:49.081,"98600",
05/05/23 16:39:51.082,"98600",
05/05/23 16:39:53.082,"98600",
05/05/23 16:39:55.082,"98600",
05/05/23 16:39:57.082,"98800",
05/05/23 16:39:59.082,"98600",
05/05/23 16:40:01.082,"98600",
05/05/23 16:40:03.081,"98800",
05/05/23 16:40:05.082,"99000",
05/05/23 16:40:07.082,"98800",
05/05/23 16:40:09.081,"98800",
05/05/23 16:40:11.082,"98800",
05/05/23 16:40:13.082,"98800",
05/05/23 16:40:15.082,"98800",
05/05/23 16:40:17.082,"98800",
05/05/23 16:40:19.082,"99000",
05/05/23 16:40:21.082,"98800",
05/05/23 16:40:23.083,"99000",
05/05/23 16:40:25.082,"99000",
05/05/23 16:40:27.082,"99000",
05/05/23 16:40:29.082,"99000",
05/05/23 16:40:31.083,"99000",
05/05/23 16:40:33.082,"99200",
05/05/23 16:40:35.082,"99200",
05/05/23 16:40:37.083,"99000",
05/05/23 16:40:39.082,"98800",
05/05/23 16:40:41.083,"98800",
05/05/23 16:40:43.082,"99000",
05/05/23 16:40:45.083,"99000",
05/05/23 16:40:47.082,"99000",
05/05/23 16:40:49.083,"99000",
05/05/23 16:40:51.083,"99200",
05/05/23 16:40:53.083,"99200",
05/05/23 16:40:55.083,"99300",
05/05/23 16:40:57.083,"99300",
05/05/23 16:40:59.083,"99300",
05/05/23 16:41:01.083,"99300",
05/05/23 16:41:03.083,"99200",
05/05/23 16:41:05.083,"99300",
05/05/23 16:41:07.083,"99200",
05/05/23 16:41:09.083,"99300",
05/05/23 16:41:11.083,"99300",
05/05/23 16:41:13.083,"99300",
05/05/23 16:41:15.084,"99500",
05/05/23 16:41:17.083,"99700",
05/05/23 16:41:19.084,"99500",
05/05/23 16:41:21.084,"99500",
05/05/23 16:41:23.084,"99500",
05/05/23 16:41:25.084,"99500",
05/05/23 16:41:27.083,"99300",
05/05/23 16:41:29.084,"99500",
05/05/23 16:41:31.083,"99300",
05/05/23 16:41:33.083,"99500",
05/05/23 16:41:35.084,"99500",
05/05/23 16:41:37.084,"99500",
05/05/23 16:41:39.084,"99700",
05/05/23 16:41:41.083,"99900",
05/05/23 16:41:43.084,"99700",
05/05/23 16:41:45.084,"99700",
05/05/23 16:41:47.083,"99700",
05/05/23 16:41:49.084,"99500",
05/05/23 16:41:51.084,"99500",
05/05/23 16:41:53.084,"99500",
05/05/23 16:41:55.084,"99500",
05/05/23 16:41:57.084,"99300",
05/05/23 16:41:59.084,"99300",
05/05/23 16:42:01.084,"99300",
05/05/23 16:42:03.084,"99500",
05/05/23 16:42:05.084,"99700",
05/05/23 16:42:07.084,"99700",
05/05/23 16:42:09.084,"99700",
05/05/23 16:42:11.085,"99700",
05/05/23 16:42:13.084,"99900",
05/05/23 16:42:15.084,"99700",
05/05/23 16:42:17.084,"99500",
05/05/23 16:42:19.085,"99500",
05/05/23 16:42:21.084,"99500",
05/05/23 16:42:23.085,"99500",
05/05/23 16:42:25.085,"99500",
05/05/23 16:42:27.085,"99700",
05/05/23 16:42:29.085,"99900",
05/05/23 16:42:31.084,"99900",
05/05/23 16:42:33.085,"99700",
05/05/23 16:42:35.085,"99900",
05/05/23 16:42:37.085,"99900",
05/05/23 16:42:39.084,"99900",
05/05/23 16:42:41.084,"99700",
05/05/23 16:42:43.084,"99900",
05/05/23 16:42:45.085,"99900",
05/05/23 16:42:47.084,"99900",
05/05/23 16:42:49.085,"99900",
05/05/23 16:42:51.085,"99900",
05/05/23 16:42:53.085,"99900",
05/05/23 16:42:55.085,"99900",
05/05/23 16:42:57.085,"100100",
05/05/23 16:42:59.085,"100100",
05/05/23 16:43:01.085,"100200",
05/05/23 16:43:03.085,"100100",
05/05/23 16:43:05.085,"100100",
05/05/23 16:43:07.085,"100100",
05/05/23 16:43:09.085,"100100",
05/05/23 16:43:11.085,"100100",
05/05/23 16:43:13.086,"100100",
05/05/23 16:43:15.085,"100100",
05/05/23 16:43:17.085,"99900",
05/05/23 16:43:19.085,"99900",
05/05/23 16:43:21.086,"99700",
05/05/23 16:43:23.085,"99900",
05/05/23 16:43:25.086,"99900",
05/05/23 16:43:27.085,"99900",
05/05/23 16:43:29.085,"99900",
05/05/23 16:43:31.085,"99900",
05/05/23 16:43:33.086,"100100",
05/05/23 16:43:35.085,"99900",
05/05/23 16:43:37.086,"99900",
05/05/23 16:43:39.085,"100100",
05/05/23 16:43:41.086,"100100",
05/05/23 16:43:43.086,"100200",
05/05/23 16:43:45.086,"100100",
05/05/23 16:43:47.086,"100100",
05/05/23 16:43:49.086,"100100",
05/05/23 16:43:51.086,"99900",
05/05/23 16:43:53.086,"99900",
05/05/23 16:43:55.086,"99900",
05/05/23 16:43:57.086,"99900",
05/05/23 16:43:59.086,"100100",
05/05/23 16:44:01.086,"100100",
05/05/23 16:44:03.087,"100100",
05/05/23 16:44:05.086,"100100",
05/05/23 16:44:07.086,"100100",
05/05/23 16:44:09.086,"100100",
05/05/23 16:44:11.087,"99900",
05/05/23 16:44:13.086,"100100",
05/05/23 16:44:15.087,"100200",
05/05/23 16:44:17.086,"100200",
05/05/23 16:44:19.086,"100200",
05/05/23 16:44:21.087,"100200",
05/05/23 16:44:23.086,"100200",
05/05/23 16:44:25.086,"100200",
05/05/23 16:44:27.087,"100400",
05/05/23 16:44:29.087,"100400",
05/05/23 16:44:31.087,"100400",
05/05/23 16:44:33.087,"100200",
05/05/23 16:44:35.087,"100200",
05/05/23 16:44:37.086,"100100",
05/05/23 16:44:39.086,"100200",
05/05/23 16:44:41.087,"100200",
05/05/23 16:44:43.087,"100100",
05/05/23 16:44:45.087,"100100",
05/05/23 16:44:47.087,"100100",
05/05/23 16:44:49.087,"100200",
05/05/23 16:44:51.087,"100400",
05/05/23 16:44:53.087,"100500",
05/05/23 16:44:55.087,"100700",
