,sensor [GSS 100%],
,CO2,
04/22/23 14:57:17.310,"97900",
04/22/23 14:57:19.300,"98100",
04/22/23 14:57:21.304,"98100",
04/22/23 14:57:23.303,"98100",
04/22/23 14:57:25.306,"98100",
04/22/23 14:57:27.299,"98200",
04/22/23 14:57:29.309,"98100",
04/22/23 14:57:31.299,"98200",
04/22/23 14:57:33.301,"98100",
04/22/23 14:57:35.294,"98200",
04/22/23 14:57:37.299,"98200",
04/22/23 14:57:39.304,"98100",
04/22/23 14:57:41.306,"98100",
04/22/23 14:57:43.308,"98200",
04/22/23 14:57:45.308,"98200",
04/22/23 14:57:47.294,"98200",
04/22/23 14:57:49.300,"98400",
04/22/23 14:57:51.304,"98400",
04/22/23 14:57:53.302,"98200",
04/22/23 14:57:55.301,"98200",
04/22/23 14:57:57.299,"98100",
04/22/23 14:57:59.309,"98200",
04/22/23 14:58:01.296,"98200",
04/22/23 14:58:03.307,"98200",
04/22/23 14:58:05.298,"98200",
04/22/23 14:58:07.295,"98100",
04/22/23 14:58:09.295,"98100",
04/22/23 14:58:11.304,"98200",
04/22/23 14:58:13.295,"98200",
04/22/23 14:58:15.298,"98200",
04/22/23 14:58:17.300,"98400",
04/22/23 14:58:19.303,"98400",
04/22/23 14:58:21.301,"98600",
04/22/23 14:58:23.303,"98800",
04/22/23 14:58:25.307,"98600",
04/22/23 14:58:27.298,"98600",
04/22/23 14:58:29.296,"98600",
04/22/23 14:58:31.297,"98600",
04/22/23 14:58:33.297,"98400",
04/22/23 14:58:35.295,"98400",
04/22/23 14:58:37.301,"98400",
04/22/23 14:58:39.303,"98400",
04/22/23 14:58:41.307,"98600",
04/22/23 14:58:43.310,"98400",
04/22/23 14:58:45.302,"98600",
04/22/23 14:58:47.304,"98600",
04/22/23 14:58:49.306,"98400",
04/22/23 14:58:51.307,"98400",
04/22/23 14:58:53.303,"98400",
04/22/23 14:58:55.301,"98400",
04/22/23 14:58:57.310,"98400",
04/22/23 14:58:59.303,"98600",
04/22/23 14:59:01.302,"98400",
04/22/23 14:59:03.300,"98600",
04/22/23 14:59:05.305,"98600",
04/22/23 14:59:07.295,"98200",
04/22/23 14:59:09.307,"98200",
04/22/23 14:59:11.310,"98200",
04/22/23 14:59:13.296,"98200",
04/22/23 14:59:15.305,"98200",
04/22/23 14:59:17.301,"98200",
04/22/23 14:59:19.301,"98200",
04/22/23 14:59:21.299,"98200",
04/22/23 14:59:23.302,"98400",
04/22/23 14:59:25.297,"98200",
04/22/23 14:59:27.304,"98100",
04/22/23 14:59:29.303,"97900",
04/22/23 14:59:31.296,"97700",
04/22/23 14:59:33.305,"97700",
04/22/23 14:59:35.311,"97500",
04/22/23 14:59:37.297,"97300",
04/22/23 14:59:39.301,"97300",
04/22/23 14:59:41.301,"97000",
04/22/23 14:59:43.299,"96600",
04/22/23 14:59:45.300,"96400",
04/22/23 14:59:47.310,"96100",
04/22/23 14:59:49.299,"95900",
04/22/23 14:59:51.300,"95500",
04/22/23 14:59:53.304,"95300",
04/22/23 14:59:55.304,"95000",
04/22/23 14:59:57.303,"94800",
04/22/23 14:59:59.303,"94300",
04/22/23 15:00:01.310,"93900",
04/22/23 15:00:03.304,"93800",
04/22/23 15:00:05.298,"93300",
04/22/23 15:00:07.298,"92700",
04/22/23 15:00:09.300,"92200",
04/22/23 15:00:11.300,"91900",
04/22/23 15:00:13.299,"91400",
04/22/23 15:00:15.300,"91000",
04/22/23 15:00:17.309,"90700",
04/22/23 15:00:19.301,"90300",
04/22/23 15:00:21.307,"89800",
04/22/23 15:00:23.310,"89300",
04/22/23 15:00:25.300,"88800",
04/22/23 15:00:27.297,"88300",
04/22/23 15:00:29.302,"88000",
04/22/23 15:00:31.298,"87500",
04/22/23 15:00:33.305,"86900",
04/22/23 15:00:35.303,"86500",
04/22/23 15:00:37.302,"86100",
04/22/23 15:00:39.305,"85700",
04/22/23 15:00:41.304,"85200",
04/22/23 15:00:43.300,"84900",
04/22/23 15:00:45.305,"84300",
04/22/23 15:00:47.301,"83600",
04/22/23 15:00:49.303,"83100",
04/22/23 15:00:51.310,"82700",
04/22/23 15:00:53.297,"82200",
04/22/23 15:00:55.306,"81600",
04/22/23 15:00:57.304,"81100",
04/22/23 15:00:59.300,"80600",
04/22/23 15:01:01.301,"80100",
04/22/23 15:01:03.300,"79500",
04/22/23 15:01:05.310,"78900",
04/22/23 15:01:07.303,"78300",
04/22/23 15:01:09.306,"77700",
04/22/23 15:01:11.307,"77200",
04/22/23 15:01:13.304,"76800",
04/22/23 15:01:15.310,"76000",
04/22/23 15:01:17.303,"75700",
04/22/23 15:01:19.305,"75000",
04/22/23 15:01:21.305,"74400",
04/22/23 15:01:23.305,"73700",
04/22/23 15:01:25.304,"73000",
04/22/23 15:01:27.303,"72500",
04/22/23 15:01:29.309,"71900",
04/22/23 15:01:31.300,"71100",
04/22/23 15:01:33.303,"70200",
04/22/23 15:01:35.298,"69600",
04/22/23 15:01:37.311,"68900",
04/22/23 15:01:39.310,"68100",
04/22/23 15:01:41.298,"67500",
04/22/23 15:01:43.301,"66900",
04/22/23 15:01:45.313,"66200",
04/22/23 15:01:47.301,"65600",
04/22/23 15:01:49.302,"65000",
04/22/23 15:01:51.311,"64400",
04/22/23 15:01:53.301,"63700",
04/22/23 15:01:55.300,"63200",
04/22/23 15:01:57.303,"62500",
04/22/23 15:01:59.308,"62000",
04/22/23 15:02:01.310,"61500",
04/22/23 15:02:03.312,"61000",
04/22/23 15:02:05.298,"60500",
04/22/23 15:02:07.303,"59900",
04/22/23 15:02:09.300,"59400",
04/22/23 15:02:11.299,"58900",
04/22/23 15:02:13.303,"58500",
04/22/23 15:02:15.303,"57900",
04/22/23 15:02:17.306,"57500",
04/22/23 15:02:19.311,"57100",
04/22/23 15:02:21.299,"56600",
04/22/23 15:02:23.302,"56200",
04/22/23 15:02:25.299,"55900",
04/22/23 15:02:27.313,"55500",
04/22/23 15:02:29.306,"55200",
04/22/23 15:02:31.307,"54900",
04/22/23 15:02:33.304,"54600",
04/22/23 15:02:35.306,"54300",
04/22/23 15:02:37.310,"54000",
04/22/23 15:02:39.308,"53600",
04/22/23 15:02:41.304,"53300",
04/22/23 15:02:43.313,"53100",
04/22/23 15:02:45.309,"52600",
04/22/23 15:02:47.301,"52500",
04/22/23 15:02:49.314,"52300",
04/22/23 15:02:51.302,"52100",
04/22/23 15:02:53.299,"51700",
04/22/23 15:02:55.305,"51500",
04/22/23 15:02:57.308,"51300",
04/22/23 15:02:59.300,"51100",
04/22/23 15:03:01.309,"51000",
04/22/23 15:03:03.305,"50900",
04/22/23 15:03:05.307,"50800",
04/22/23 15:03:07.310,"50600",
04/22/23 15:03:09.310,"50500",
04/22/23 15:03:11.308,"50400",
04/22/23 15:03:13.311,"50300",
04/22/23 15:03:15.299,"50200",
04/22/23 15:03:17.306,"50100",
