,sensor [Auto],,,,,
,Oxygen,Pressure,Temperature,Humidity,ppO2,
04/23/23 10:46:57.410,,"101",,,,
04/23/23 10:46:57.690,,,"19.7",,,
04/23/23 10:46:57.970,,,,"43.9",,
04/23/23 10:46:58.250,,,,,"35.2",
04/23/23 10:47:44.515,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:46.514,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:48.513,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:50.512,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:52.581,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:54.510,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:56.519,"30360","101","19.7","43.9","35.2",
04/23/23 10:47:58.518,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:00.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:02.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:04.515,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:06.514,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:08.512,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:10.511,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:12.510,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:14.519,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:16.518,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:18.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:20.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:22.515,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:24.514,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:26.513,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:28.512,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:30.511,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:32.520,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:34.519,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:36.518,"30360","101","19.7","43.9","35.2",
04/23/23 10:48:38.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:40.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:42.515,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:44.514,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:46.512,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:48.511,"30250","101","19.7","43.9","35.1",
04/23/23 10:48:50.520,"30250","101","19.7","43.9","35.1",
04/23/23 10:48:52.519,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:54.518,"30250","101","19.7","43.9","35.1",
04/23/23 10:48:56.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:48:58.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:00.515,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:02.514,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:04.513,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:06.512,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:08.521,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:10.520,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:12.519,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:14.518,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:16.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:18.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:20.515,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:22.514,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:24.512,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:26.521,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:28.520,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:30.519,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:32.518,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:34.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:36.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:38.515,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:40.514,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:42.513,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:44.522,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:46.521,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:48.520,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:50.519,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:52.518,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:54.517,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:56.516,"30360","101","19.7","43.9","35.1",
04/23/23 10:49:58.515,"30360","101","19.7","43.8","35.1",
04/23/23 10:50:00.513,"30360","101","19.7","43.9","35.1",
04/23/23 10:50:02.522,"30360","101","19.7","43.8","35.1",
04/23/23 10:50:04.521,"30360","101","19.7","43.8","35.1",
04/23/23 10:50:06.520,"30360","101","19.7","43.8","35.1",
04/23/23 10:50:08.519,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:10.518,"30360","101","19.7","43.8","35.1",
04/23/23 10:50:12.517,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:14.516,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:16.515,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:18.514,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:20.523,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:22.522,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:24.521,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:26.520,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:28.519,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:30.518,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:32.517,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:34.516,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:36.514,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:38.523,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:40.522,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:42.521,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:44.520,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:46.519,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:48.518,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:50.517,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:52.516,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:54.515,"30250","101","19.7","43.8","35",
04/23/23 10:50:56.514,"30250","101","19.7","43.8","35.1",
04/23/23 10:50:58.523,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:00.522,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:02.521,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:04.520,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:06.519,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:08.518,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:10.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:12.516,"30250","101","19.7","43.8","35.1",
04/23/23 10:51:14.514,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:16.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:18.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:20.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:22.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:24.519,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:26.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:28.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:30.516,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:32.515,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:34.524,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:36.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:38.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:40.521,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:42.520,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:44.519,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:46.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:48.517,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:50.516,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:52.524,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:54.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:51:56.522,"30360","101","19.7","43.7","35.1",
04/23/23 10:51:58.521,"30360","101","19.7","43.7","35.1",
04/23/23 10:52:00.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:02.519,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:04.518,"30360","101","19.7","43.7","35.1",
04/23/23 10:52:06.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:08.516,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:10.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:12.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:14.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:16.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:18.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:20.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:22.519,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:24.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:26.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:28.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:30.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:32.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:34.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:36.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:38.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:40.519,"30360","101","19.7","43.7","35.1",
04/23/23 10:52:42.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:44.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:46.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:48.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:50.524,"30250","101","19.7","43.6","35.1",
04/23/23 10:52:52.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:54.522,"30360","101","19.7","43.7","35.1",
04/23/23 10:52:56.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:58.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:53:00.519,"30250","101","19.7","43.6","35.1",
