,sensor [GSS 100%],
,CO2,
05/09/23 5:46:56.620,"97100",
05/09/23 5:46:58.618,"97100",
05/09/23 5:47:00.618,"96900",
05/09/23 5:47:02.619,"96900",
05/09/23 5:47:04.618,"97300",
05/09/23 5:47:06.618,"97300",
05/09/23 5:47:08.618,"97300",
05/09/23 5:47:10.619,"97100",
05/09/23 5:47:12.618,"97300",
05/09/23 5:47:14.619,"97300",
05/09/23 5:47:16.619,"97300",
05/09/23 5:47:18.619,"97100",
05/09/23 5:47:20.619,"97100",
05/09/23 5:47:22.619,"97100",
05/09/23 5:47:24.619,"97100",
05/09/23 5:47:26.619,"97100",
05/09/23 5:47:28.619,"96900",
05/09/23 5:47:30.619,"97100",
05/09/23 5:47:32.619,"97100",
05/09/23 5:47:34.619,"97100",
05/09/23 5:47:36.619,"97100",
05/09/23 5:47:38.619,"96900",
05/09/23 5:47:40.620,"97100",
05/09/23 5:47:42.620,"97100",
05/09/23 5:47:44.620,"97300",
05/09/23 5:47:46.620,"97300",
05/09/23 5:47:48.619,"97300",
05/09/23 5:47:50.619,"97300",
05/09/23 5:47:52.619,"97300",
05/09/23 5:47:54.619,"97400",
05/09/23 5:47:56.620,"97300",
05/09/23 5:47:58.620,"97400",
05/09/23 5:48:00.620,"97300",
05/09/23 5:48:02.620,"97300",
05/09/23 5:48:04.620,"97400",
05/09/23 5:48:06.619,"97400",
05/09/23 5:48:08.619,"97400",
05/09/23 5:48:10.619,"97400",
05/09/23 5:48:12.620,"97400",
05/09/23 5:48:14.619,"97300",
05/09/23 5:48:16.620,"97300",
05/09/23 5:48:18.620,"97300",
05/09/23 5:48:20.620,"97300",
05/09/23 5:48:22.620,"97300",
05/09/23 5:48:24.620,"97300",
05/09/23 5:48:26.620,"97100",
05/09/23 5:48:28.620,"97300",
05/09/23 5:48:30.620,"97300",
05/09/23 5:48:32.620,"97300",
05/09/23 5:48:34.620,"97300",
05/09/23 5:48:36.620,"97300",
05/09/23 5:48:38.621,"97400",
05/09/23 5:48:40.620,"97600",
05/09/23 5:48:42.620,"97600",
05/09/23 5:48:44.620,"97300",
05/09/23 5:48:46.620,"97300",
05/09/23 5:48:48.621,"97300",
05/09/23 5:48:50.620,"97100",
05/09/23 5:48:52.621,"97100",
05/09/23 5:48:54.620,"97300",
05/09/23 5:48:56.621,"97400",
05/09/23 5:48:58.621,"97400",
05/09/23 5:49:00.621,"97400",
05/09/23 5:49:02.621,"97400",
05/09/23 5:49:04.621,"97400",
05/09/23 5:49:06.621,"97400",
05/09/23 5:49:08.621,"97400",
05/09/23 5:49:10.621,"97400",
05/09/23 5:49:12.621,"97400",
05/09/23 5:49:14.621,"97400",
05/09/23 5:49:16.621,"97400",
05/09/23 5:49:18.622,"97400",
05/09/23 5:49:20.621,"97400",
05/09/23 5:49:22.621,"97400",
05/09/23 5:49:24.621,"97300",
05/09/23 5:49:26.621,"97400",
05/09/23 5:49:28.621,"97400",
05/09/23 5:49:30.622,"97600",
05/09/23 5:49:32.622,"97400",
05/09/23 5:49:34.622,"97400",
05/09/23 5:49:36.621,"97400",
05/09/23 5:49:38.622,"97400",
05/09/23 5:49:40.621,"97400",
05/09/23 5:49:42.622,"97400",
05/09/23 5:49:44.621,"97400",
05/09/23 5:49:46.621,"97400",
05/09/23 5:49:48.622,"97400",
05/09/23 5:49:50.622,"97400",
05/09/23 5:49:52.622,"97300",
05/09/23 5:49:54.622,"97100",
05/09/23 5:49:56.622,"97100",
05/09/23 5:49:58.622,"97100",
05/09/23 5:50:00.622,"97400",
05/09/23 5:50:02.622,"97400",
05/09/23 5:50:04.622,"97400",
05/09/23 5:50:06.622,"97400",
05/09/23 5:50:08.622,"97400",
05/09/23 5:50:10.622,"97400",
05/09/23 5:50:12.622,"97400",
05/09/23 5:50:14.622,"97300",
05/09/23 5:50:16.622,"97300",
05/09/23 5:50:18.622,"97100",
05/09/23 5:50:20.623,"97300",
05/09/23 5:50:22.623,"97100",
05/09/23 5:50:24.623,"97100",
05/09/23 5:50:26.623,"97100",
05/09/23 5:50:28.623,"97100",
05/09/23 5:50:30.623,"97100",
05/09/23 5:50:32.623,"97100",
05/09/23 5:50:34.623,"97100",
05/09/23 5:50:36.623,"97400",
05/09/23 5:50:38.623,"97600",
05/09/23 5:50:40.623,"97400",
05/09/23 5:50:42.623,"97400",
05/09/23 5:50:44.623,"97400",
05/09/23 5:50:46.623,"97400",
05/09/23 5:50:48.623,"97400",
05/09/23 5:50:50.623,"97400",
05/09/23 5:50:52.623,"97400",
05/09/23 5:50:54.623,"97400",
05/09/23 5:50:56.623,"97400",
05/09/23 5:50:58.623,"97400",
05/09/23 5:51:00.624,"97400",
05/09/23 5:51:02.623,"97400",
05/09/23 5:51:04.623,"97400",
05/09/23 5:51:06.623,"97400",
05/09/23 5:51:08.623,"97400",
05/09/23 5:51:10.623,"97400",
05/09/23 5:51:12.623,"97300",
05/09/23 5:51:14.624,"97400",
05/09/23 5:51:16.624,"97300",
05/09/23 5:51:18.624,"97100",
05/09/23 5:51:20.623,"97100",
05/09/23 5:51:22.624,"97100",
05/09/23 5:51:24.623,"96900",
05/09/23 5:51:26.624,"97100",
05/09/23 5:51:28.624,"96900",
05/09/23 5:51:30.624,"96900",
05/09/23 5:51:32.624,"97100",
05/09/23 5:51:34.624,"97100",
05/09/23 5:51:36.624,"97100",
05/09/23 5:51:38.624,"96900",
05/09/23 5:51:40.624,"96900",
05/09/23 5:51:42.625,"96900",
05/09/23 5:51:44.624,"96900",
05/09/23 5:51:46.624,"96900",
05/09/23 5:51:48.625,"96700",
05/09/23 5:51:50.624,"96500",
05/09/23 5:51:52.624,"96500",
05/09/23 5:51:54.625,"96200",
05/09/23 5:51:56.624,"96000",
05/09/23 5:51:58.624,"96000",
05/09/23 5:52:00.625,"95800",
05/09/23 5:52:02.625,"95800",
05/09/23 5:52:04.625,"95600",
05/09/23 5:52:06.625,"95600",
