,sensor [GSS 100%],
,CO2,
05/29/23 22:28:03.829,"182500",
05/29/23 22:28:06.068,"182900",
05/29/23 22:28:07.827,"182900",
05/29/23 22:28:09.828,"182900",
05/29/23 22:28:11.827,"182900",
05/29/23 22:28:13.827,"182900",
05/29/23 22:28:15.827,"182500",
05/29/23 22:28:17.827,"182900",
05/29/23 22:28:19.827,"182500",
05/29/23 22:28:21.827,"182500",
05/29/23 22:28:23.827,"182500",
05/29/23 22:28:25.827,"182500",
05/29/23 22:28:27.827,"182500",
05/29/23 22:28:29.828,"182500",
05/29/23 22:28:31.828,"182100",
05/29/23 22:28:33.828,"182500",
05/29/23 22:28:35.827,"182500",
05/29/23 22:28:37.828,"182500",
05/29/23 22:28:39.827,"182500",
05/29/23 22:28:41.827,"182900",
05/29/23 22:28:43.828,"182500",
05/29/23 22:28:45.827,"182500",
05/29/23 22:28:47.827,"182500",
05/29/23 22:28:49.828,"182500",
05/29/23 22:28:51.827,"182900",
05/29/23 22:28:53.827,"182900",
05/29/23 22:28:55.828,"182900",
05/29/23 22:28:57.828,"182900",
05/29/23 22:28:59.828,"183400",
05/29/23 22:29:01.828,"183400",
05/29/23 22:29:03.828,"183800",
05/29/23 22:29:05.828,"183400",
05/29/23 22:29:07.828,"183400",
05/29/23 22:29:09.828,"182500",
05/29/23 22:29:11.829,"182500",
05/29/23 22:29:13.828,"182500",
05/29/23 22:29:15.828,"182100",
05/29/23 22:29:17.829,"182500",
05/29/23 22:29:19.828,"182500",
05/29/23 22:29:21.829,"182500",
05/29/23 22:29:23.828,"182100",
05/29/23 22:29:25.829,"181800",
05/29/23 22:29:27.828,"182100",
05/29/23 22:29:29.828,"181800",
05/29/23 22:29:31.829,"181800",
05/29/23 22:29:33.828,"182100",
05/29/23 22:29:35.828,"182500",
05/29/23 22:29:37.829,"182100",
05/29/23 22:29:39.828,"182500",
05/29/23 22:29:41.829,"182500",
05/29/23 22:29:43.829,"182500",
05/29/23 22:29:45.829,"182500",
05/29/23 22:29:47.828,"182500",
05/29/23 22:29:49.829,"182500",
05/29/23 22:29:51.829,"182500",
05/29/23 22:29:53.829,"182500",
05/29/23 22:29:55.829,"182100",
05/29/23 22:29:57.829,"182100",
05/29/23 22:29:59.829,"182100",
05/29/23 22:30:01.829,"182900",
05/29/23 22:30:03.829,"182900",
05/29/23 22:30:05.829,"182900",
05/29/23 22:30:07.829,"182900",
05/29/23 22:30:09.829,"182100",
05/29/23 22:30:11.829,"182500",
05/29/23 22:30:13.830,"182100",
05/29/23 22:30:15.830,"182100",
05/29/23 22:30:17.830,"182500",
05/29/23 22:30:19.830,"182500",
05/29/23 22:30:21.829,"182100",
05/29/23 22:30:23.830,"182500",
05/29/23 22:30:25.830,"182100",
05/29/23 22:30:27.829,"181800",
05/29/23 22:30:29.829,"182100",
05/29/23 22:30:31.829,"182500",
05/29/23 22:30:33.829,"182100",
05/29/23 22:30:35.830,"182500",
05/29/23 22:30:37.830,"182100",
05/29/23 22:30:39.829,"181800",
05/29/23 22:30:41.830,"181800",
05/29/23 22:30:43.829,"182100",
05/29/23 22:30:45.830,"181800",
05/29/23 22:30:47.830,"182100",
05/29/23 22:30:49.830,"181800",
05/29/23 22:30:51.830,"181800",
05/29/23 22:30:53.830,"181800",
05/29/23 22:30:55.830,"181800",
05/29/23 22:30:57.830,"182100",
05/29/23 22:30:59.830,"182500",
05/29/23 22:31:01.830,"182500",
05/29/23 22:31:03.830,"182500",
05/29/23 22:31:05.830,"182500",
05/29/23 22:31:07.830,"182100",
05/29/23 22:31:09.830,"182100",
05/29/23 22:31:11.830,"181800",
05/29/23 22:31:13.831,"181400",
05/29/23 22:31:15.830,"181800",
05/29/23 22:31:17.830,"181800",
05/29/23 22:31:19.830,"181400",
05/29/23 22:31:21.831,"181400",
05/29/23 22:31:23.831,"181800",
05/29/23 22:31:25.830,"181800",
05/29/23 22:31:27.831,"181800",
05/29/23 22:31:29.831,"181800",
05/29/23 22:31:31.831,"181400",
05/29/23 22:31:33.831,"181800",
05/29/23 22:31:35.831,"181800",
05/29/23 22:31:37.830,"181400",
05/29/23 22:31:39.831,"181800",
05/29/23 22:31:41.831,"181800",
05/29/23 22:31:43.831,"181800",
05/29/23 22:31:45.831,"181800",
05/29/23 22:31:47.831,"181400",
05/29/23 22:31:49.832,"181800",
05/29/23 22:31:51.831,"181400",
05/29/23 22:31:53.831,"181400",
05/29/23 22:31:55.831,"181800",
05/29/23 22:31:57.832,"181800",
05/29/23 22:31:59.831,"181800",
05/29/23 22:32:01.831,"181800",
05/29/23 22:32:03.831,"181800",
05/29/23 22:32:05.831,"182100",
05/29/23 22:32:07.831,"182100",
05/29/23 22:32:09.831,"181800",
05/29/23 22:32:11.831,"181800",
05/29/23 22:32:13.832,"182100",
05/29/23 22:32:15.831,"182500",
05/29/23 22:32:17.831,"182500",
05/29/23 22:32:19.832,"182500",
05/29/23 22:32:21.832,"182100",
05/29/23 22:32:23.832,"182500",
05/29/23 22:32:25.832,"182500",
05/29/23 22:32:27.832,"182500",
05/29/23 22:32:29.832,"182500",
05/29/23 22:32:31.832,"182100",
05/29/23 22:32:33.832,"182100",
05/29/23 22:32:35.832,"182100",
05/29/23 22:32:39.367,"182500",
05/29/23 22:32:41.367,"182500",
05/29/23 22:32:43.367,"182500",
05/29/23 22:32:45.367,"182100",
05/29/23 22:32:47.367,"181800",
05/29/23 22:32:49.367,"182100",
05/29/23 22:32:51.368,"182100",
05/29/23 22:32:53.367,"181800",
05/29/23 22:32:55.368,"181800",
05/29/23 22:32:57.367,"181800",
05/29/23 22:32:59.368,"181800",
05/29/23 22:33:01.368,"181400",
05/29/23 22:33:03.368,"181400",
05/29/23 22:33:05.367,"181400",
05/29/23 22:33:07.368,"181100",
05/29/23 22:33:09.367,"181100",
05/29/23 22:33:11.367,"181100",
05/29/23 22:33:13.368,"181400",
05/29/23 22:33:15.368,"181400",
05/29/23 22:33:17.368,"181800",
05/29/23 22:33:19.367,"181800",
05/29/23 22:33:21.368,"181400",
05/29/23 22:33:23.368,"181100",
05/29/23 22:33:25.368,"181400",
05/29/23 22:33:27.368,"181100",
05/29/23 22:33:29.368,"181100",
05/29/23 22:33:31.368,"181100",
05/29/23 22:33:33.369,"181400",
05/29/23 22:33:35.368,"181100",
05/29/23 22:33:37.369,"181400",
05/29/23 22:33:39.369,"181400",
05/29/23 22:33:41.369,"181800",
05/29/23 22:33:43.369,"181800",
05/29/23 22:33:45.368,"181800",
05/29/23 22:33:47.369,"181800",
05/29/23 22:33:49.369,"181800",
05/29/23 22:33:51.368,"181800",
05/29/23 22:33:53.368,"181800",
05/29/23 22:33:55.369,"181800",
05/29/23 22:33:57.369,"181800",
05/29/23 22:33:59.368,"181800",
05/29/23 22:34:01.369,"181800",
05/29/23 22:34:03.369,"181800",
05/29/23 22:34:05.369,"181400",
05/29/23 22:34:07.369,"181800",
05/29/23 22:34:09.369,"181800",
05/29/23 22:34:11.370,"181800",
05/29/23 22:34:13.369,"181800",
05/29/23 22:34:15.369,"181800",
05/29/23 22:34:17.369,"181400",
05/29/23 22:34:19.369,"181400",
05/29/23 22:34:21.370,"181400",
05/29/23 22:34:23.370,"181400",
05/29/23 22:34:25.369,"181400",
05/29/23 22:34:27.370,"181800",
05/29/23 22:34:29.369,"181800",
05/29/23 22:34:31.370,"181800",
05/29/23 22:34:33.370,"181100",
05/29/23 22:34:35.370,"181100",
05/29/23 22:34:37.370,"181100",
05/29/23 22:34:39.370,"181100",
05/29/23 22:34:41.370,"181100",
05/29/23 22:34:43.370,"180700",
05/29/23 22:34:45.370,"180700",
05/29/23 22:34:47.370,"181100",
05/29/23 22:34:49.370,"181100",
05/29/23 22:34:51.370,"181500",
05/29/23 22:34:53.370,"181100",
05/29/23 22:34:55.371,"181100",
05/29/23 22:34:57.371,"181100",
05/29/23 22:34:59.370,"181100",
05/29/23 22:35:01.371,"181100",
05/29/23 22:35:03.370,"181100",
05/29/23 22:35:05.370,"181100",
05/29/23 22:35:07.371,"181100",
05/29/23 22:35:09.371,"181100",
05/29/23 22:35:11.370,"181100",
05/29/23 22:35:13.370,"181500",
05/29/23 22:35:15.371,"181500",
05/29/23 22:35:17.370,"181500",
05/29/23 22:35:19.370,"181800",
05/29/23 22:35:21.371,"181800",
05/29/23 22:35:23.371,"182200",
05/29/23 22:35:25.371,"182200",
05/29/23 22:35:27.371,"182500",
05/29/23 22:35:29.371,"182500",
05/29/23 22:35:31.371,"182500",
05/29/23 22:35:33.371,"182200",
05/29/23 22:35:35.371,"182200",
05/29/23 22:35:37.371,"182200",
05/29/23 22:35:39.371,"182200",
05/29/23 22:35:41.371,"182200",
05/29/23 22:35:43.371,"182200",
05/29/23 22:35:45.371,"182200",
05/29/23 22:35:47.371,"182200",
05/29/23 22:35:49.372,"182200",
05/29/23 22:35:51.371,"182600",
05/29/23 22:35:53.372,"182600",
05/29/23 22:35:55.372,"182200",
05/29/23 22:35:57.371,"182200",
05/29/23 22:35:59.372,"182200",
05/29/23 22:36:01.371,"181900",
05/29/23 22:36:03.372,"181900",
05/29/23 22:36:05.372,"182200",
05/29/23 22:36:07.372,"182200",
05/29/23 22:36:09.372,"181900",
05/29/23 22:36:11.372,"182200",
05/29/23 22:36:13.373,"182200",
05/29/23 22:36:15.372,"181900",
05/29/23 22:36:17.372,"182200",
05/29/23 22:36:19.372,"182200",
05/29/23 22:36:21.372,"182600",
05/29/23 22:36:23.372,"182200",
05/29/23 22:36:25.372,"182200",
05/29/23 22:36:27.373,"182200",
05/29/23 22:36:29.372,"182200",
05/29/23 22:36:31.373,"182200",
05/29/23 22:36:33.372,"182200",
05/29/23 22:36:35.372,"182600",
05/29/23 22:36:37.372,"182600",
05/29/23 22:36:39.372,"183000",
05/29/23 22:36:41.373,"183500",
05/29/23 22:36:43.372,"183500",
05/29/23 22:36:45.372,"183500",
05/29/23 22:36:47.373,"183000",
05/29/23 22:36:49.373,"183000",
05/29/23 22:36:51.373,"183000",
05/29/23 22:36:53.373,"183000",
05/29/23 22:36:55.373,"182600",
05/29/23 22:36:57.373,"182600",
05/29/23 22:36:59.373,"183000",
05/29/23 22:37:01.373,"182600",
05/29/23 22:37:03.374,"182200",
05/29/23 22:37:05.374,"183000",
05/29/23 22:37:07.373,"183000",
05/29/23 22:37:09.373,"183000",
05/29/23 22:37:11.374,"182600",
05/29/23 22:37:13.373,"182600",
05/29/23 22:37:15.374,"182600",
05/29/23 22:37:17.373,"183000",
05/29/23 22:37:19.374,"183000",
05/29/23 22:37:21.374,"183000",
05/29/23 22:37:23.374,"183000",
05/29/23 22:37:25.374,"183000",
05/29/23 22:37:27.374,"183500",
05/29/23 22:37:29.374,"183500",
05/29/23 22:37:31.374,"183000",
05/29/23 22:37:33.374,"183000",
05/29/23 22:37:35.374,"183000",
05/29/23 22:37:37.374,"183000",
05/29/23 22:37:39.374,"183000",
05/29/23 22:37:41.374,"183500",
05/29/23 22:37:43.374,"183000",
05/29/23 22:37:45.374,"183000",
05/29/23 22:37:47.375,"183000",
05/29/23 22:37:49.374,"182600",
05/29/23 22:37:51.374,"182600",
05/29/23 22:37:53.375,"182600",
05/29/23 22:37:55.374,"182600",
05/29/23 22:37:57.374,"183000",
05/29/23 22:37:59.374,"183000",
05/29/23 22:38:01.375,"183000",
05/29/23 22:38:03.374,"183000",
05/29/23 22:38:05.374,"183000",
05/29/23 22:38:07.375,"183000",
05/29/23 22:38:09.374,"183000",
05/29/23 22:38:11.374,"182600",
05/29/23 22:38:13.375,"182600",
05/29/23 22:38:15.375,"183000",
05/29/23 22:38:17.375,"183000",
05/29/23 22:38:19.375,"183000",
05/29/23 22:38:21.375,"183500",
05/29/23 22:38:23.375,"183500",
05/29/23 22:38:25.375,"183500",
05/29/23 22:38:27.375,"183500",
05/29/23 22:38:29.375,"183900",
05/29/23 22:38:31.375,"183500",
05/29/23 22:38:33.375,"183500",
05/29/23 22:38:35.375,"183000",
05/29/23 22:38:37.376,"183500",
05/29/23 22:38:39.375,"183000",
05/29/23 22:38:41.376,"183000",
05/29/23 22:38:43.376,"183000",
05/29/23 22:38:45.376,"183000",
05/29/23 22:38:47.376,"183000",
05/29/23 22:38:49.376,"183000",
05/29/23 22:38:51.376,"183000",
05/29/23 22:38:53.376,"183000",
05/29/23 22:38:55.376,"183500",
05/29/23 22:38:57.376,"183500",
05/29/23 22:38:59.377,"183500",
05/29/23 22:39:01.376,"183500",
05/29/23 22:39:03.376,"183500",
05/29/23 22:39:05.376,"183500",
05/29/23 22:39:07.377,"183500",
05/29/23 22:39:09.376,"183500",
05/29/23 22:39:11.377,"183500",
05/29/23 22:39:13.377,"183500",
05/29/23 22:39:15.377,"183500",
05/29/23 22:39:17.377,"183500",
05/29/23 22:39:19.376,"183500",
05/29/23 22:39:21.377,"183500",
05/29/23 22:39:23.376,"183500",
05/29/23 22:39:25.377,"183900",
05/29/23 22:39:27.377,"183900",
05/29/23 22:39:29.377,"183900",
05/29/23 22:39:31.377,"183500",
05/29/23 22:39:33.377,"183500",
05/29/23 22:39:35.377,"183500",
05/29/23 22:39:37.377,"183500",
05/29/23 22:39:39.377,"183900",
05/29/23 22:39:41.378,"183900",
05/29/23 22:39:43.377,"183500",
05/29/23 22:39:45.377,"183500",
05/29/23 22:39:47.378,"183500",
05/29/23 22:39:49.378,"183500",
05/29/23 22:39:51.378,"183500",
05/29/23 22:39:53.377,"183900",
05/29/23 22:39:55.378,"183900",
05/29/23 22:39:57.377,"183500",
05/29/23 22:39:59.377,"183500",
05/29/23 22:40:01.378,"183900",
05/29/23 22:40:03.378,"183500",
05/29/23 22:40:05.378,"183900",
05/29/23 22:40:07.378,"183900",
05/29/23 22:40:09.377,"184300",
05/29/23 22:40:11.378,"184300",
05/29/23 22:40:13.377,"184300",
05/29/23 22:40:15.378,"184300",
05/29/23 22:40:17.378,"184300",
05/29/23 22:40:19.378,"184800",
05/29/23 22:40:21.378,"184300",
05/29/23 22:40:23.378,"184300",
05/29/23 22:40:25.378,"184300",
05/29/23 22:40:27.378,"184300",
05/29/23 22:40:29.378,"184300",
05/29/23 22:40:31.378,"184300",
05/29/23 22:40:33.378,"183900",
05/29/23 22:40:35.378,"183900",
05/29/23 22:40:37.379,"183900",
05/29/23 22:40:39.379,"183900",
05/29/23 22:40:41.379,"183900",
05/29/23 22:40:43.379,"183900",
05/29/23 22:40:45.378,"183900",
05/29/23 22:40:47.379,"183900",
05/29/23 22:40:49.378,"184300",
05/29/23 22:40:51.379,"184300",
05/29/23 22:40:53.378,"184300",
05/29/23 22:40:55.379,"184300",
05/29/23 22:40:57.379,"184800",
05/29/23 22:40:59.379,"184800",
05/29/23 22:41:01.379,"184300",
05/29/23 22:41:03.380,"184300",
05/29/23 22:41:05.379,"184300",
05/29/23 22:41:07.379,"184300",
05/29/23 22:41:09.379,"183900",
05/29/23 22:41:11.380,"184300",
05/29/23 22:41:13.380,"184300",
05/29/23 22:41:15.379,"184800",
05/29/23 22:41:17.380,"184300",
05/29/23 22:41:19.380,"184800",
05/29/23 22:41:21.379,"185200",
05/29/23 22:41:23.379,"184800",
05/29/23 22:41:25.379,"185200",
05/29/23 22:41:27.380,"185200",
05/29/23 22:41:29.380,"184800",
05/29/23 22:41:31.380,"184800",
05/29/23 22:41:33.380,"185200",
05/29/23 22:41:35.380,"184800",
05/29/23 22:41:37.380,"184800",
05/29/23 22:41:39.380,"184800",
05/29/23 22:41:41.380,"184800",
05/29/23 22:41:43.380,"184800",
05/29/23 22:41:45.380,"184300",
05/29/23 22:41:47.380,"184300",
05/29/23 22:41:49.381,"184800",
05/29/23 22:41:51.381,"184800",
05/29/23 22:41:53.381,"184300",
05/29/23 22:41:55.381,"184300",
05/29/23 22:41:57.381,"184800",
05/29/23 22:41:59.381,"184300",
05/29/23 22:42:01.380,"184300",
05/29/23 22:42:03.381,"184300",
05/29/23 22:42:05.380,"184300",
05/29/23 22:42:07.381,"184800",
05/29/23 22:42:09.381,"184800",
05/29/23 22:42:11.381,"184800",
05/29/23 22:42:13.380,"185200",
05/29/23 22:42:15.381,"185200",
05/29/23 22:42:17.381,"184800",
05/29/23 22:42:19.381,"185200",
05/29/23 22:42:21.381,"184800",
05/29/23 22:42:23.381,"184800",
05/29/23 22:42:25.382,"184800",
05/29/23 22:42:27.381,"185200",
05/29/23 22:42:29.381,"185200",
05/29/23 22:42:31.381,"185200",
05/29/23 22:42:33.381,"185600",
05/29/23 22:42:35.382,"185200",
05/29/23 22:42:37.382,"185200",
05/29/23 22:42:39.381,"185600",
05/29/23 22:42:41.381,"184800",
05/29/23 22:42:43.381,"185600",
05/29/23 22:42:45.382,"185200",
05/29/23 22:42:47.381,"184800",
05/29/23 22:42:49.382,"184800",
05/29/23 22:42:51.381,"184800",
05/29/23 22:42:53.382,"184800",
05/29/23 22:42:55.382,"184800",
05/29/23 22:42:57.382,"185200",
05/29/23 22:42:59.382,"184800",
05/29/23 22:43:01.382,"185200",
05/29/23 22:43:03.382,"185200",
05/29/23 22:43:05.382,"185200",
05/29/23 22:43:07.382,"184800",
05/29/23 22:43:09.382,"185200",
05/29/23 22:43:11.382,"185600",
05/29/23 22:43:13.382,"184800",
05/29/23 22:43:15.383,"184800",
05/29/23 22:43:17.383,"184800",
