,sensor [GSS 100%],
,CO2,
05/26/23 8:07:34.914,"103700",
05/26/23 8:07:36.911,"103700",
05/26/23 8:07:38.911,"103700",
05/26/23 8:07:40.911,"103900",
05/26/23 8:07:42.912,"103900",
05/26/23 8:07:44.911,"104100",
05/26/23 8:07:46.911,"103700",
05/26/23 8:07:48.911,"103900",
05/26/23 8:07:50.912,"103700",
05/26/23 8:07:52.912,"103700",
05/26/23 8:07:54.911,"103700",
05/26/23 8:07:56.911,"103600",
05/26/23 8:07:58.912,"103700",
05/26/23 8:08:00.912,"103700",
05/26/23 8:08:02.912,"103600",
05/26/23 8:08:04.912,"103600",
05/26/23 8:08:06.911,"103600",
05/26/23 8:08:08.911,"103700",
05/26/23 8:08:10.912,"103900",
05/26/23 8:08:12.912,"103900",
05/26/23 8:08:14.912,"103700",
05/26/23 8:08:16.912,"103700",
05/26/23 8:08:18.912,"103900",
05/26/23 8:08:20.913,"103700",
05/26/23 8:08:22.912,"103700",
05/26/23 8:08:24.913,"103900",
05/26/23 8:08:26.912,"103900",
05/26/23 8:08:28.912,"103700",
05/26/23 8:08:30.913,"103700",
05/26/23 8:08:32.913,"103700",
05/26/23 8:08:34.913,"103900",
05/26/23 8:08:36.913,"103900",
05/26/23 8:08:38.913,"103900",
05/26/23 8:08:40.912,"103700",
05/26/23 8:08:42.913,"103700",
05/26/23 8:08:44.913,"103600",
05/26/23 8:08:46.913,"103600",
05/26/23 8:08:48.913,"103600",
05/26/23 8:08:50.913,"103400",
05/26/23 8:08:52.913,"103600",
05/26/23 8:08:54.913,"103700",
05/26/23 8:08:56.913,"103600",
05/26/23 8:08:58.913,"103600",
05/26/23 8:09:00.913,"103600",
05/26/23 8:09:02.913,"103800",
05/26/23 8:09:04.913,"103800",
05/26/23 8:09:06.914,"103800",
05/26/23 8:09:08.913,"103800",
05/26/23 8:09:10.913,"103800",
05/26/23 8:09:12.913,"103800",
05/26/23 8:09:14.914,"103800",
05/26/23 8:09:16.913,"103800",
05/26/23 8:09:18.914,"103800",
05/26/23 8:09:20.914,"103800",
05/26/23 8:09:22.914,"103800",
05/26/23 8:09:24.914,"103800",
05/26/23 8:09:26.914,"103800",
05/26/23 8:09:28.913,"104000",
05/26/23 8:09:30.914,"103800",
05/26/23 8:09:32.913,"103800",
05/26/23 8:09:34.914,"103800",
05/26/23 8:09:36.914,"103800",
05/26/23 8:09:38.914,"103800",
05/26/23 8:09:40.914,"103800",
05/26/23 8:09:42.913,"103800",
05/26/23 8:09:44.914,"103800",
05/26/23 8:09:46.914,"104000",
05/26/23 8:09:48.914,"103800",
05/26/23 8:09:50.914,"104000",
05/26/23 8:09:52.914,"104000",
05/26/23 8:09:54.915,"103800",
05/26/23 8:09:56.914,"104000",
05/26/23 8:09:58.914,"103800",
05/26/23 8:10:00.914,"103800",
05/26/23 8:10:02.914,"103800",
05/26/23 8:10:04.914,"103800",
05/26/23 8:10:06.914,"103600",
05/26/23 8:10:08.915,"103600",
05/26/23 8:10:10.915,"103800",
05/26/23 8:10:12.914,"103600",
05/26/23 8:10:14.914,"103400",
05/26/23 8:10:16.915,"103400",
05/26/23 8:10:18.915,"103200",
05/26/23 8:10:20.914,"103400",
05/26/23 8:10:22.915,"103400",
05/26/23 8:10:24.915,"103400",
05/26/23 8:10:26.915,"103400",
05/26/23 8:10:28.915,"103400",
05/26/23 8:10:30.915,"103400",
05/26/23 8:10:32.915,"103400",
05/26/23 8:10:34.915,"103200",
05/26/23 8:10:36.915,"103200",
05/26/23 8:10:38.915,"103200",
05/26/23 8:10:40.915,"103200",
05/26/23 8:10:42.915,"103200",
05/26/23 8:10:44.915,"103200",
05/26/23 8:10:46.915,"103400",
05/26/23 8:10:48.915,"103400",
05/26/23 8:10:50.915,"103400",
05/26/23 8:10:52.914,"103400",
05/26/23 8:10:54.916,"103800",
05/26/23 8:10:56.915,"103600",
05/26/23 8:10:58.915,"103600",
05/26/23 8:11:00.915,"103800",
05/26/23 8:11:02.915,"103800",
05/26/23 8:11:04.915,"103800",
05/26/23 8:11:06.916,"103600",
05/26/23 8:11:08.916,"103600",
05/26/23 8:11:10.915,"103600",
05/26/23 8:11:12.916,"103800",
05/26/23 8:11:14.915,"103600",
05/26/23 8:11:16.916,"103400",
05/26/23 8:11:18.916,"103400",
05/26/23 8:11:20.916,"103200",
05/26/23 8:11:22.916,"103400",
05/26/23 8:11:24.916,"103400",
05/26/23 8:11:26.917,"103400",
05/26/23 8:11:28.915,"103400",
05/26/23 8:11:30.916,"103400",
05/26/23 8:11:32.916,"103400",
05/26/23 8:11:34.916,"103400",
05/26/23 8:11:36.916,"103400",
05/26/23 8:11:38.916,"103400",
05/26/23 8:11:40.916,"103400",
05/26/23 8:11:42.916,"103400",
05/26/23 8:11:44.916,"103400",
05/26/23 8:11:46.916,"103400",
05/26/23 8:11:48.917,"103400",
05/26/23 8:11:50.917,"103200",
05/26/23 8:11:52.916,"103400",
05/26/23 8:11:54.916,"103600",
05/26/23 8:11:56.916,"103400",
05/26/23 8:11:58.917,"103200",
05/26/23 8:12:00.916,"103200",
05/26/23 8:12:02.916,"103200",
05/26/23 8:12:04.917,"103200",
05/26/23 8:12:06.917,"103400",
05/26/23 8:12:08.917,"103200",
05/26/23 8:12:10.917,"103200",
05/26/23 8:12:12.917,"103400",
05/26/23 8:12:14.917,"103200",
05/26/23 8:12:16.917,"103400",
05/26/23 8:12:18.917,"103400",
05/26/23 8:12:20.917,"103400",
05/26/23 8:12:22.917,"103200",
05/26/23 8:12:24.917,"103200",
05/26/23 8:12:26.917,"103200",
05/26/23 8:12:28.918,"103200",
05/26/23 8:12:30.917,"103200",
05/26/23 8:12:34.393,"103200",
05/26/23 8:12:36.393,"103200",
05/26/23 8:12:38.393,"103400",
05/26/23 8:12:40.394,"103400",
05/26/23 8:12:42.393,"103400",
05/26/23 8:12:44.393,"103600",
05/26/23 8:12:46.393,"103400",
05/26/23 8:12:48.393,"103400",
05/26/23 8:12:50.394,"103400",
05/26/23 8:12:52.393,"103600",
05/26/23 8:12:54.393,"103600",
05/26/23 8:12:56.393,"103400",
05/26/23 8:12:58.394,"103400",
05/26/23 8:13:00.394,"103600",
05/26/23 8:13:02.393,"103400",
05/26/23 8:13:04.394,"103400",
05/26/23 8:13:06.393,"103200",
05/26/23 8:13:08.393,"103200",
05/26/23 8:13:10.394,"103200",
05/26/23 8:13:12.393,"103200",
05/26/23 8:13:14.394,"103200",
05/26/23 8:13:16.394,"103400",
05/26/23 8:13:18.394,"103400",
05/26/23 8:13:20.394,"103400",
05/26/23 8:13:22.394,"103400",
05/26/23 8:13:24.394,"103400",
05/26/23 8:13:26.394,"103600",
05/26/23 8:13:28.394,"103800",
05/26/23 8:13:30.394,"103600",
05/26/23 8:13:32.394,"103400",
05/26/23 8:13:34.394,"103400",
05/26/23 8:13:36.394,"103200",
05/26/23 8:13:38.395,"103200",
05/26/23 8:13:40.395,"103400",
05/26/23 8:13:42.394,"103200",
05/26/23 8:13:44.394,"103200",
05/26/23 8:13:46.394,"103400",
05/26/23 8:13:48.394,"103400",
05/26/23 8:13:50.395,"103200",
05/26/23 8:13:52.395,"103200",
05/26/23 8:13:54.394,"103200",
05/26/23 8:13:56.395,"103400",
05/26/23 8:13:58.395,"103200",
05/26/23 8:14:00.394,"103200",
05/26/23 8:14:02.395,"103200",
05/26/23 8:14:04.395,"103200",
05/26/23 8:14:06.395,"103200",
05/26/23 8:14:08.395,"103200",
05/26/23 8:14:10.395,"103000",
05/26/23 8:14:12.395,"103200",
05/26/23 8:14:14.395,"103200",
05/26/23 8:14:16.395,"103200",
05/26/23 8:14:18.395,"103200",
05/26/23 8:14:20.395,"103000",
05/26/23 8:14:22.395,"103200",
05/26/23 8:14:24.395,"103200",
05/26/23 8:14:26.395,"103200",
05/26/23 8:14:28.395,"103600",
05/26/23 8:14:30.395,"103600",
05/26/23 8:14:32.395,"103800",
05/26/23 8:14:34.395,"103800",
05/26/23 8:14:36.395,"103800",
05/26/23 8:14:38.395,"103800",
05/26/23 8:14:40.395,"103600",
05/26/23 8:14:42.396,"103600",
05/26/23 8:14:44.395,"103400",
05/26/23 8:14:46.395,"103400",
05/26/23 8:14:48.395,"103400",
05/26/23 8:14:50.396,"103200",
05/26/23 8:14:52.395,"103400",
05/26/23 8:14:54.395,"103400",
05/26/23 8:14:56.396,"103400",
05/26/23 8:14:58.396,"103400",
05/26/23 8:15:00.396,"103400",
05/26/23 8:15:02.396,"103400",
05/26/23 8:15:04.395,"103200",
05/26/23 8:15:06.396,"103200",
05/26/23 8:15:08.396,"103400",
05/26/23 8:15:10.396,"103400",
05/26/23 8:15:12.396,"103200",
05/26/23 8:15:14.396,"103200",
05/26/23 8:15:16.396,"103200",
05/26/23 8:15:18.396,"103200",
05/26/23 8:15:20.396,"103200",
05/26/23 8:15:22.396,"103400",
05/26/23 8:15:24.396,"103200",
05/26/23 8:15:26.396,"103400",
05/26/23 8:15:28.396,"103400",
05/26/23 8:15:30.396,"103200",
05/26/23 8:15:32.396,"103200",
05/26/23 8:15:34.396,"103200",
05/26/23 8:15:36.396,"103400",
05/26/23 8:15:38.397,"103200",
05/26/23 8:15:40.397,"103200",
05/26/23 8:15:42.396,"103200",
05/26/23 8:15:44.397,"103000",
05/26/23 8:15:46.396,"103200",
05/26/23 8:15:48.397,"103200",
05/26/23 8:15:50.396,"103200",
05/26/23 8:15:52.397,"103200",
05/26/23 8:15:54.397,"103200",
05/26/23 8:15:56.396,"103200",
05/26/23 8:15:58.397,"103200",
05/26/23 8:16:00.397,"103200",
05/26/23 8:16:02.397,"103000",
05/26/23 8:16:04.397,"103000",
05/26/23 8:16:06.397,"103200",
05/26/23 8:16:08.397,"103200",
05/26/23 8:16:10.398,"103200",
05/26/23 8:16:12.397,"103200",
05/26/23 8:16:14.397,"103000",
05/26/23 8:16:16.397,"103000",
